Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Delta Time (s)	Dur 90% (s)	Freq 95% (Hz)	Time 95% Rel.	BW 90% (Hz)	Sequence
1	Spectrogram 1	1	96.543777717	96.827606983	115.616	396.399	258.398	0.2838	0.1683	344.531	0.7917	172.266	bm
2	Spectrogram 1	1	97.616116380	97.854153067	132.133	445.949	258.398	0.2380	0.1451	344.531	0.7750	172.266	bm
3	Spectrogram 1	1	98.075853904	98.390902461	115.616	512.016	344.531	0.3150	0.1916	430.664	0.7736	172.266	bm
4	Spectrogram 1	1	98.435242628	99.245034104	627.632	1057.065	947.461	0.8098	0.4238	1033.594	0.9565	172.266	us
5	Spectrogram 1	1	99.252035183	99.312711201	512.016	1024.031	861.328	0.0607	0.0522	947.461	1.0000	258.398	bk
6	Spectrogram 1	1	99.354717676	99.427062159	512.016	1040.548	775.195	0.0723	0.0464	861.328	0.9091	258.398	bk
7	Spectrogram 1	1	99.497072949	99.576418512	462.466	1040.548	775.195	0.0793	0.0580	861.328	0.9231	258.398	bk
8	Spectrogram 1	1	99.662765154	99.753779181	478.982	990.998	689.062	0.0910	0.0580	861.328	0.8667	344.531	bk
9	Spectrogram 1	1	99.844793209	99.938140929	429.433	1007.515	775.195	0.0933	0.0755	861.328	1.0000	344.531	bk
10	Spectrogram 1	1	100.033822343	100.122502677	462.466	1040.548	775.195	0.0887	0.0639	861.328	1.0000	344.531	bk
13	Spectrogram 1	1	100.047824501	100.269525337	115.616	429.433	258.398	0.2217	0.1509	344.531	0.8378	172.266	bm
11	Spectrogram 1	1	100.232186249	100.327867663	429.433	1024.031	775.195	0.0957	0.0697	861.328	0.9375	344.531	bk
12	Spectrogram 1	1	100.451553392	100.547234806	379.883	1024.031	775.195	0.0957	0.0639	861.328	0.9333	344.531	bk
14	Spectrogram 1	1	100.670920536	100.768935642	379.883	1024.031	689.062	0.0980	0.0697	861.328	1.0000	344.531	bk
15	Spectrogram 1	1	100.890287679	100.997637558	363.366	990.998	689.062	0.1073	0.0697	861.328	0.9444	344.531	bk
16	Spectrogram 1	1	101.128324367	101.217004701	412.916	1057.065	775.195	0.0887	0.0464	861.328	0.9333	344.531	bk
17	Spectrogram 1	1	101.903110447	102.138813442	132.133	512.016	344.531	0.2357	0.1335	344.531	0.7000	86.133	bm
18	Spectrogram 1	1	102.544876027	102.843588732	132.133	478.982	258.398	0.2987	0.2148	344.531	0.8431	86.133	bm
19	Spectrogram 1	1	103.345332730	103.903085361	115.616	512.016	344.531	0.5578	0.3831	430.664	0.8211	172.266	bm
20	Spectrogram 1	1	105.440989058	105.833049484	165.166	478.982	344.531	0.3921	0.1741	430.664	0.6418	172.266	bm
