Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Delta Time (s)	Dur 90% (s)	Freq 95% (Hz)	Time 95% Rel.	BW 90% (Hz)	Sequence
1	Spectrogram 1	1	147.053248258	147.423761020	66.683	466.784	258.398	0.3705	0.1858	344.531	0.7460	172.266	bm
2	Spectrogram 1	1	148.164646496	148.688630668	111.139	400.101	258.398	0.5240	0.2902	344.531	0.8090	172.266	bm
3	Spectrogram 1	1	149.575831142	150.653571315	133.367	489.012	344.531	1.0777	0.3715	430.664	0.8703	172.266	bm
4	Spectrogram 1	1	150.963198326	151.582452348	111.139	466.784	258.398	0.6193	0.3889	344.531	0.7642	172.266	bm
5	Spectrogram 1	1	151.772992047	152.017121037	555.696	933.569	775.195	0.2441	0.1277	861.328	0.7561	172.266	bk
6	Spectrogram 1	1	152.046749795	152.564625587	110.022	424.371	258.398	0.5179	0.3831	344.531	0.8523	172.266	bm
7	Spectrogram 1	1	152.779354574	152.985662816	534.393	911.612	775.195	0.2063	0.1161	861.328	0.8000	172.266	bk
8	Spectrogram 1	1	153.015135422	153.617218659	125.740	471.523	344.531	0.6021	0.4005	430.664	0.9118	172.266	bm
10	Spectrogram 1	1	153.596166798	153.810895785	471.523	848.742	775.195	0.2147	0.1509	775.195	0.9167	86.133	bk
9	Spectrogram 1	1	153.596166798	154.375085672	581.545	1005.916	861.328	0.7789	0.6444	947.461	0.9248	258.398	us
12	Spectrogram 1	1	153.836158019	154.231933014	110.022	455.806	258.398	0.3958	0.2786	344.531	0.8507	172.266	bm
11	Spectrogram 1	1	154.337192321	154.539290191	518.676	943.047	775.195	0.2021	0.1219	861.328	0.7941	172.266	bk
13	Spectrogram 1	1	154.522448702	154.644549498	565.828	958.764	775.195	0.1221	0.0639	861.328	0.7500	172.266	bk
24	Spectrogram 1	1	154.560342053	154.956117048	125.740	408.654	258.398	0.3958	0.2961	344.531	0.8806	172.266	bm
14	Spectrogram 1	1	154.652970243	154.754019178	565.828	958.764	775.195	0.1010	0.0406	861.328	0.7500	172.266	bk
15	Spectrogram 1	1	154.804543645	154.909802953	502.958	974.482	775.195	0.1053	0.0464	861.328	0.7059	172.266	bk
16	Spectrogram 1	1	154.964537792	155.069797100	408.654	974.482	775.195	0.1053	0.0755	861.328	1.0000	172.266	bk
17	Spectrogram 1	1	155.116111195	155.246632736	455.806	958.764	775.195	0.1305	0.0813	861.328	0.8571	258.398	bk
25	Spectrogram 1	1	155.212949758	155.372943905	94.305	471.523	344.531	0.1600	0.0929	430.664	0.8148	172.266	bm
18	Spectrogram 1	1	155.326629809	155.440309861	392.936	990.199	775.195	0.1137	0.0871	861.328	0.9474	258.398	bk
19	Spectrogram 1	1	155.511886190	155.642407731	408.654	943.047	689.062	0.1305	0.0755	861.328	0.8571	258.398	bk
26	Spectrogram 1	1	155.558200285	155.709773688	141.457	455.806	344.531	0.1516	0.0755	430.664	0.7200	172.266	bm
20	Spectrogram 1	1	155.726615177	155.852926346	392.936	974.482	775.195	0.1263	0.0755	861.328	0.7143	258.398	bk
27	Spectrogram 1	1	155.869767835	155.987658259	78.587	487.241	344.531	0.1179	0.0522	344.531	0.7368	86.133	bm
21	Spectrogram 1	1	155.945554536	156.088707194	377.219	943.047	689.062	0.1432	0.0929	861.328	0.8261	258.398	bk
28	Spectrogram 1	1	156.164493895	156.269753203	125.740	455.806	344.531	0.1053	0.0522	344.531	0.7647	86.133	bm
22	Spectrogram 1	1	156.244490969	156.370802138	377.219	880.177	689.062	0.1263	0.0697	775.195	0.7619	258.398	bk
29	Spectrogram 1	1	156.652897081	156.766577133	78.587	518.676	344.531	0.1137	0.0580	344.531	0.7895	86.133	bm
23	Spectrogram 1	1	156.741314899	156.888677929	377.219	943.047	689.062	0.1474	0.0813	775.195	0.7500	258.398	bk
30	Spectrogram 1	1	157.263401063	157.389712232	94.305	487.241	344.531	0.1263	0.0639	344.531	0.8000	86.133	bm
31	Spectrogram 1	1	157.368660370	157.473919678	392.936	880.177	689.062	0.1053	0.0639	775.195	0.8235	258.398	bk
32	Spectrogram 1	1	157.873905045	157.996005842	94.305	471.523	258.398	0.1221	0.0697	344.531	0.8500	86.133	bm
33	Spectrogram 1	1	157.970743608	158.088634032	440.088	895.894	689.062	0.1179	0.0639	775.195	0.8000	172.266	bk
34	Spectrogram 1	1	158.623351313	158.998074447	94.305	455.806	258.398	0.3747	0.2438	344.531	0.8254	86.133	bm
35	Spectrogram 1	1	159.612788801	160.109612732	110.022	408.654	258.398	0.4968	0.2844	344.531	0.7176	172.266	bm
36	Spectrogram 1	1	161.322199952	161.814813510	94.305	424.371	258.398	0.4926	0.2961	344.531	0.7976	172.266	bm
37	Spectrogram 1	1	162.614784245	163.764215880	172.892	471.523	344.531	1.1494	0.8940	344.531	0.9442	86.133	bm
