Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Delta Time (s)	Dur 90% (s)	Freq 95% (Hz)	Time 95% Rel.	BW 90% (Hz)	Sequence
1	Spectrogram 1	1	2048.360840626	2049.177081608	103.618	497.368	344.531	0.8162	0.5515	430.664	0.8921	172.266	bm
2	Spectrogram 1	1	2051.029757241	2051.437877732	145.066	559.539	344.531	0.4081	0.3367	430.664	0.9286	172.266	bm
3	Spectrogram 1	1	2051.284327448	2051.979344523	559.539	1056.908	861.328	0.6950	0.5399	947.461	0.9328	258.398	us
4	Spectrogram 1	1	2051.979433585	2052.062294558	497.368	1015.461	775.195	0.0829	0.0464	861.328	0.8462	258.398	bk
5	Spectrogram 1	1	2052.093724582	2052.196586479	476.645	1077.632	775.195	0.1029	0.0639	861.328	0.8750	258.398	bk
6	Spectrogram 1	1	2052.253731977	2052.348022050	373.026	1015.461	689.062	0.0943	0.0522	861.328	0.8125	258.398	bk
7	Spectrogram 1	1	2052.416596648	2052.510886720	414.474	994.737	689.062	0.0943	0.0580	775.195	0.8125	172.266	bk
8	Spectrogram 1	1	2052.588033143	2052.688037765	414.474	994.737	689.062	0.1000	0.0522	775.195	0.8125	172.266	bk
9	Spectrogram 1	1	2052.770898738	2052.859474260	393.750	932.566	689.062	0.0886	0.0522	775.195	0.8000	172.266	bk
10	Spectrogram 1	1	2052.948049783	2053.050911680	393.750	953.289	689.062	0.1029	0.0639	775.195	0.8235	172.266	bk
11	Spectrogram 1	1	2053.145201752	2053.245206375	393.750	932.566	689.062	0.1000	0.0580	775.195	0.8750	258.398	bk
12	Spectrogram 1	1	2053.393784670	2053.496646568	435.197	932.566	689.062	0.1029	0.0522	775.195	0.8125	172.266	bk
13	Spectrogram 1	1	2055.328159791	2055.613887283	124.342	497.368	258.398	0.2857	0.2264	344.531	0.8958	172.266	bm
