Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Delta Time (s)	Dur 90% (s)	Freq 95% (Hz)	Time 95% Rel.	BW 90% (Hz)	Sequence
1	Spectrogram 1	1	406.506998854	406.946851046	151.919	477.461	344.531	0.4399	0.3193	430.664	0.8919	258.398	bm
2	Spectrogram 1	1	406.624693798	406.716076688	412.352	803.002	689.062	0.0914	0.0697	775.195	0.8667	258.398	bk
3	Spectrogram 1	1	407.418282053	407.514474569	412.352	911.516	689.062	0.0962	0.0580	775.195	0.9333	258.398	bk
4	Spectrogram 1	1	408.902853213	409.175398674	108.514	585.974	344.531	0.2725	0.1393	430.664	0.6304	172.266	bm
5	Spectrogram 1	1	409.172192257	409.986622224	520.866	1171.949	861.328	0.8144	0.6211	947.461	0.9065	258.398	us
6	Spectrogram 1	1	409.986622224	410.068385862	347.244	1041.732	689.062	0.0818	0.0406	861.328	0.8462	258.398	bk
7	Spectrogram 1	1	410.095640409	410.318486403	108.514	477.461	258.398	0.2228	0.1625	430.664	0.9189	258.398	bm
8	Spectrogram 1	1	410.150149501	410.241532391	347.244	1020.030	689.062	0.0914	0.0464	861.328	0.8000	344.531	bk
9	Spectrogram 1	1	410.331312072	410.417885336	368.947	1041.732	689.062	0.0866	0.0522	861.328	0.9286	344.531	bk
10	Spectrogram 1	1	410.525300312	410.610270368	412.352	976.624	689.062	0.0850	0.0522	775.195	0.9286	258.398	bk
11	Spectrogram 1	1	410.607063951	410.793036148	151.919	434.055	258.398	0.1860	0.1451	344.531	0.9032	86.133	bm
12	Spectrogram 1	1	410.743336681	410.826703528	368.947	1020.030	689.062	0.0834	0.0580	861.328	0.9286	344.531	bk
13	Spectrogram 1	1	410.964579468	411.059168775	347.244	1041.732	689.062	0.0946	0.0580	861.328	0.8667	344.531	bk
14	Spectrogram 1	1	411.605862906	411.926504625	108.514	477.461	258.398	0.3206	0.2438	344.531	0.9259	172.266	bm
15	Spectrogram 1	1	412.102857571	412.391435118	130.217	412.352	258.398	0.2886	0.2380	344.531	0.9167	172.266	bm
16	Spectrogram 1	1	412.574200898	413.023099305	151.919	564.272	258.398	0.4489	0.3367	344.531	0.8421	172.266	bm
