Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Delta Time (s)	Dur 90% (s)	Freq 95% (Hz)	Time 95% Rel.	BW 90% (Hz)	Sequence
1	Spectrogram 1	1	1171.546458097	1171.894754747	151.213	470.439	258.398	0.3483	0.2322	344.531	0.8475	86.133	bm
2	Spectrogram 1	1	1173.816004010	1174.400243552	134.411	487.241	344.531	0.5842	0.3483	344.531	0.7778	86.133	bm
3	Spectrogram 1	1	1176.602377210	1177.242793631	134.411	504.042	344.531	0.6404	0.2670	430.664	0.6972	172.266	bm
4	Spectrogram 1	1	1177.070517869	1177.770856294	655.255	1075.290	861.328	0.7003	0.5747	947.461	0.9250	172.266	us
5	Spectrogram 1	1	1177.770856294	1177.864484426	504.042	1041.687	775.195	0.0936	0.0755	947.461	0.8667	258.398	bk
15	Spectrogram 1	1	1177.838268549	1178.336370210	117.610	487.241	258.398	0.4981	0.3889	344.531	0.8452	172.266	bm
6	Spectrogram 1	1	1177.920661305	1178.025524812	470.439	1024.886	775.195	0.1049	0.0871	861.328	0.9412	258.398	bk
7	Spectrogram 1	1	1178.077956566	1178.186565199	470.439	1024.886	775.195	0.1086	0.0755	861.328	0.8889	258.398	bk
8	Spectrogram 1	1	1178.238996953	1178.362586087	436.837	940.879	775.195	0.1236	0.0755	861.328	0.8000	258.398	bk
9	Spectrogram 1	1	1178.422508091	1178.534861849	403.234	957.680	775.195	0.1124	0.0639	861.328	0.8421	258.398	bk
10	Spectrogram 1	1	1178.620999730	1178.722118113	352.830	991.283	775.195	0.1011	0.0639	861.328	0.8824	344.531	bk
11	Spectrogram 1	1	1178.823236495	1178.928100002	403.234	957.680	775.195	0.1049	0.0639	861.328	0.8235	258.398	bk
16	Spectrogram 1	1	1179.003002508	1179.340063782	100.808	453.638	258.398	0.3371	0.2496	344.531	0.8421	172.266	bm
12	Spectrogram 1	1	1179.029218385	1179.134081892	352.830	957.680	775.195	0.1049	0.0580	861.328	0.8235	258.398	bk
13	Spectrogram 1	1	1179.257671026	1179.370024784	386.432	957.680	689.062	0.1124	0.0697	861.328	0.8333	258.398	bk
14	Spectrogram 1	1	1179.486123667	1179.594732300	386.432	957.680	689.062	0.1086	0.0580	861.328	0.7778	344.531	bk
17	Spectrogram 1	1	1179.733301935	1179.958009451	537.645	957.680	775.195	0.2247	0.1625	861.328	0.8684	172.266	bk
18	Spectrogram 1	1	1179.995460704	1180.519778242	117.610	453.638	258.398	0.5243	0.3657	344.531	0.7640	172.266	bm
19	Spectrogram 1	1	1180.748746972	1181.018863727	537.645	890.475	775.195	0.2701	0.1858	861.328	0.9111	172.266	bk
20	Spectrogram 1	1	1181.018863727	1181.770953513	151.213	487.241	258.398	0.7521	0.6269	344.531	0.9070	86.133	bm
