Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Delta Time (s)	Dur 90% (s)	Freq 95% (Hz)	Time 95% Rel.	BW 90% (Hz)	Sequence
1	Spectrogram 1	1	54.403809230	55.107605398	112.043	515.396	344.531	0.7038	0.5689	430.664	0.9091	172.266	bm
2	Spectrogram 1	1	55.832094930	55.937105554	605.030	985.976	775.195	0.1050	0.0639	861.328	0.7778	172.266	bk
3	Spectrogram 1	1	56.247571746	56.464441512	112.043	470.579	258.398	0.2169	0.1567	430.664	0.8889	258.398	bm
4	Spectrogram 1	1	57.030585744	57.137879207	134.451	448.171	258.398	0.1073	0.0755	344.531	0.8824	86.133	bm
5	Spectrogram 1	1	58.525845712	58.713038563	560.213	963.567	775.195	0.1872	0.1335	861.328	0.8750	172.266	bk
6	Spectrogram 1	1	58.820332026	59.137646737	156.860	537.805	344.531	0.3173	0.2380	430.664	0.8519	172.266	bm
7	Spectrogram 1	1	59.041767472	59.683245412	627.439	1053.201	861.328	0.6415	0.4876	947.461	0.8727	172.266	us
8	Spectrogram 1	1	59.321415328	59.483496943	582.622	974.771	861.328	0.1621	0.1219	947.461	0.9615	258.398	bk
15	Spectrogram 1	1	59.525729477	59.811084432	179.268	448.171	344.531	0.2854	0.2380	430.664	0.9583	172.266	bm
9	Spectrogram 1	1	59.541709354	59.626174421	560.213	1075.610	861.328	0.0845	0.0639	947.461	0.8571	258.398	bk
10	Spectrogram 1	1	59.692376771	59.767710479	537.805	1030.793	775.195	0.0753	0.0522	947.461	0.9167	258.398	bk
11	Spectrogram 1	1	59.831629989	59.927509254	470.579	1075.610	775.195	0.0959	0.0580	947.461	0.8750	344.531	bk
12	Spectrogram 1	1	59.986863085	60.101005067	492.988	1053.201	775.195	0.1141	0.0813	861.328	0.8947	258.398	bk
16	Spectrogram 1	1	60.194601493	60.475390769	179.268	403.354	258.398	0.2808	0.2206	344.531	0.9362	86.133	bm
13	Spectrogram 1	1	60.196884332	60.292763597	492.988	941.159	775.195	0.0959	0.0697	861.328	0.9375	344.531	bk
14	Spectrogram 1	1	60.413754099	60.525613241	403.354	985.976	689.062	0.1119	0.0871	861.328	0.9444	344.531	bk
17	Spectrogram 1	1	60.660195853	60.844215952	560.213	963.567	775.195	0.1840	0.1625	861.328	0.9355	258.398	bk
18	Spectrogram 1	1	61.005637092	61.263910915	156.860	560.213	344.531	0.2583	0.1683	430.664	0.8140	172.266	bm
19	Spectrogram 1	1	93.009096020	93.616039504	126.762	507.047	344.531	0.6069	0.4412	430.664	0.8738	172.266	bm
21	Spectrogram 1	1	93.754861684	93.903369132	156.860	448.171	344.531	0.1485	0.1277	430.664	0.9200	258.398	bm
20	Spectrogram 1	1	93.880770173	94.000221816	425.762	941.159	689.062	0.1195	0.0871	775.195	0.8500	258.398	bk
22	Spectrogram 1	1	94.542596844	94.687875870	134.451	448.171	258.398	0.1453	0.1219	430.664	0.9167	258.398	bm
23	Spectrogram 1	1	94.642677951	94.762129594	425.762	896.341	689.062	0.1195	0.0755	775.195	0.8500	258.398	bk
24	Spectrogram 1	1	95.572463714	95.717742739	134.451	425.762	258.398	0.1453	0.0929	344.531	0.8750	172.266	bm
25	Spectrogram 1	1	96.741152763	96.938086553	112.043	448.171	258.398	0.1969	0.1509	430.664	0.8485	258.398	bm
26	Spectrogram 1	1	97.099507692	97.457862621	156.860	582.622	344.531	0.3584	0.2728	430.664	0.8197	172.266	bm
27	Spectrogram 1	1	97.296441482	97.887242852	605.030	1142.835	861.328	0.5908	0.4876	947.461	0.9307	172.266	us
28	Spectrogram 1	1	97.887242852	97.987323959	537.805	1053.201	861.328	0.1001	0.0755	947.461	0.8750	344.531	bk
29	Spectrogram 1	1	98.032521878	98.122917716	470.579	1030.793	775.195	0.0904	0.0639	861.328	0.9333	258.398	bk
30	Spectrogram 1	1	98.200399862	98.290795701	425.762	1030.793	775.195	0.0904	0.0580	861.328	0.8667	258.398	bk
31	Spectrogram 1	1	98.371506270	98.471587377	380.945	1030.793	689.062	0.1001	0.0580	861.328	0.8125	344.531	bk
32	Spectrogram 1	1	98.549069524	98.642693784	358.537	985.976	689.062	0.0936	0.0639	861.328	0.9333	344.531	bk
33	Spectrogram 1	1	98.758917005	98.855769688	403.354	1008.384	689.062	0.0969	0.0639	861.328	0.8750	344.531	bk
34	Spectrogram 1	1	99.001048714	99.104358243	403.354	1030.793	689.062	0.1033	0.0580	861.328	0.7647	344.531	bk
35	Spectrogram 1	1	99.630591157	100.024458737	179.268	492.988	344.531	0.3939	0.3251	430.664	0.8806	172.266	bm
36	Spectrogram 1	1	99.762956492	99.866266021	448.171	918.750	689.062	0.1033	0.0639	775.195	0.7647	258.398	bk
