Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Delta Time (s)	Dur 90% (s)	Freq 95% (Hz)	Time 95% Rel.	BW 90% (Hz)	Sequence
1	Spectrogram 1	1	2894.634161423	2894.940316482	125.000	475.000	281.250	0.3062	0.2240	375.000	0.8596	187.500	bm
2	Spectrogram 1	1	2895.423467436	2895.667434749	150.000	425.000	281.250	0.2440	0.1813	375.000	0.9111	187.500	bm
3	Spectrogram 1	1	2899.939254564	2900.259760642	175.000	450.000	281.250	0.3205	0.2187	375.000	0.8644	187.500	bm
4	Spectrogram 1	1	2900.317164715	2901.106470728	100.000	525.000	281.250	0.7893	0.5547	375.000	0.7823	187.500	bm
5	Spectrogram 1	1	2903.345229601	2903.689654043	175.000	500.000	281.250	0.3444	0.1920	375.000	0.6825	93.750	bm
6	Spectrogram 1	1	2903.612427641	2904.258498029	600.000	1050.000	843.750	0.6461	0.5013	937.500	0.9333	281.250	us
7	Spectrogram 1	1	2903.862737634	2903.974362361	450.000	850.000	750.000	0.1116	0.0800	843.750	0.9500	281.250	bk
8	Spectrogram 1	1	2904.265263164	2904.339679649	525.000	1050.000	843.750	0.0744	0.0640	937.500	0.9231	281.250	bk
9	Spectrogram 1	1	2904.383653026	2904.485130050	425.000	1100.000	750.000	0.1015	0.0693	843.750	0.9444	187.500	bk
10	Spectrogram 1	1	2904.546016265	2904.650875857	350.000	1000.000	750.000	0.1049	0.0800	843.750	0.9474	281.250	bk
11	Spectrogram 1	1	2904.718527207	2904.820004231	350.000	1050.000	750.000	0.1015	0.0747	843.750	0.9444	281.250	bk
12	Spectrogram 1	1	2904.894420715	2905.009428010	350.000	1050.000	750.000	0.1150	0.0693	843.750	0.8095	375.000	bk
13	Spectrogram 1	1	2905.117670169	2905.219147193	375.000	1050.000	750.000	0.1015	0.0693	843.750	0.8333	375.000	bk
14	Spectrogram 1	1	2905.151495844	2905.263120571	175.000	425.000	281.250	0.1116	0.0907	375.000	0.9500	187.500	bm
15	Spectrogram 1	1	2905.225912328	2905.347684758	425.000	900.000	750.000	0.1218	0.1013	843.750	0.8636	281.250	bk
16	Spectrogram 1	1	2905.324006785	2905.455926917	300.000	1025.000	750.000	0.1319	0.0853	843.750	0.8696	375.000	bk
17	Spectrogram 1	1	2905.912573527	2905.993755146	175.000	525.000	281.250	0.0812	0.0533	375.000	0.8571	187.500	bm
18	Spectrogram 1	1	2905.997137714	2906.078319333	500.000	1000.000	750.000	0.0812	0.0480	843.750	0.8571	281.250	bk
19	Spectrogram 1	1	2906.027580821	2906.348924732	125.000	475.000	281.250	0.3213	0.1867	375.000	0.6441	93.750	bm
20	Spectrogram 1	1	2908.205954278	2908.469794541	100.000	450.000	281.250	0.2638	0.2027	375.000	0.8776	187.500	bm
21	Spectrogram 1	1	2909.673988564	2909.883707748	100.000	400.000	281.250	0.2097	0.1760	375.000	0.9231	187.500	bm
22	Spectrogram 1	1	2911.243499874	2911.683233647	125.000	450.000	281.250	0.4397	0.3093	375.000	0.8395	187.500	bm
23	Spectrogram 1	1	2911.967369315	2912.346216873	125.000	500.000	281.250	0.3788	0.2507	375.000	0.7714	187.500	bm
