Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Delta Time (s)	Dur 90% (s)	Freq 95% (Hz)	Time 95% Rel.	BW 90% (Hz)	Sequence
1	Spectrogram 1	1	1769.251659804	1769.623698212	117.851	420.897	281.250	0.3720	0.2400	375.000	0.9275	187.500	bm
2	Spectrogram 1	1	1770.050733601	1770.785105067	134.687	555.584	375.000	0.7344	0.3787	375.000	0.8467	93.750	bm
3	Spectrogram 1	1	1771.493595599	1771.690937711	117.851	471.405	281.250	0.1973	0.1013	375.000	0.7222	187.500	bm
4	Spectrogram 1	1	1772.255110294	1772.680598849	134.687	404.061	281.250	0.4255	0.3413	375.000	0.9114	187.500	bm
5	Spectrogram 1	1	1772.836153805	1772.987133615	101.015	471.405	281.250	0.1510	0.0747	375.000	0.7857	187.500	bm
6	Spectrogram 1	1	1773.035172645	1773.229616340	134.687	572.420	375.000	0.1944	0.1120	375.000	0.8286	93.750	bm
7	Spectrogram 1	1	1773.295955953	1773.973077525	538.748	1077.496	843.750	0.6771	0.5173	937.500	0.8651	187.500	us
14	Spectrogram 1	1	1773.538438678	1773.659680041	84.179	387.225	281.250	0.1212	0.0747	375.000	0.8182	187.500	bm
15	Spectrogram 1	1	1773.691706061	1773.865561600	117.851	404.061	281.250	0.1739	0.1067	375.000	0.7742	187.500	bm
8	Spectrogram 1	1	1773.984515389	1774.071443158	488.240	1010.153	750.000	0.0869	0.0693	843.750	0.9333	187.500	bk
9	Spectrogram 1	1	1774.114907043	1774.217847823	488.240	1026.988	750.000	0.1029	0.0800	843.750	0.8889	187.500	bk
10	Spectrogram 1	1	1774.286475009	1774.382553070	454.569	1026.988	750.000	0.0961	0.0640	843.750	0.9412	281.250	bk
16	Spectrogram 1	1	1774.375690351	1774.828629781	134.687	404.061	281.250	0.4529	0.3573	375.000	0.8690	187.500	bm
11	Spectrogram 1	1	1774.464905693	1774.556408608	437.733	959.645	656.250	0.0915	0.0640	843.750	0.8750	281.250	bk
12	Spectrogram 1	1	1774.645623951	1774.734839293	437.733	942.809	656.250	0.0892	0.0587	843.750	0.9333	281.250	bk
13	Spectrogram 1	1	1774.837780072	1774.931570560	420.897	993.317	656.250	0.0938	0.0640	843.750	1.0000	281.250	bk
18	Spectrogram 1	1	1774.893703133	1775.055458962	690.271	942.809	843.750	0.1618	0.1280	843.750	0.8966	93.750	bk
17	Spectrogram 1	1	1775.052223845	1775.146042227	454.569	942.809	656.250	0.0938	0.0640	843.750	0.8750	281.250	bk
19	Spectrogram 1	1	1775.278682007	1775.715422746	101.015	471.405	281.250	0.4367	0.3360	375.000	0.8765	187.500	bm
