Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Delta Time (s)	Dur 90% (s)	Freq 95% (Hz)	Time 95% Rel.	BW 90% (Hz)	Sequence
1	Spectrogram 1	1	2365.451615994	2366.026536066	137.972	448.409	281.250	0.5749	0.4427	375.000	0.9340	187.500	bm
2	Spectrogram 1	1	2366.467992550	2366.594611851	120.726	413.916	281.250	0.1266	0.0800	375.000	0.8261	187.500	bm
3	Spectrogram 1	1	2366.632255428	2366.683587577	482.902	793.339	656.250	0.0513	0.0320	750.000	0.8889	187.500	bk
4	Spectrogram 1	1	2367.710230563	2368.107199184	137.972	431.163	281.250	0.3970	0.3307	375.000	0.9054	187.500	bm
5	Spectrogram 1	1	2368.213285626	2368.860070707	155.219	482.902	375.000	0.6468	0.5493	375.000	0.9504	93.750	bm
6	Spectrogram 1	1	2368.548655668	2369.280994331	638.121	1069.283	843.750	0.7323	0.6027	937.500	0.9343	187.500	us
7	Spectrogram 1	1	2369.335748624	2369.431568636	534.642	1069.283	843.750	0.0958	0.0587	937.500	0.8824	281.250	bk
8	Spectrogram 1	1	2369.517122218	2369.602675800	500.149	1017.544	750.000	0.0856	0.0693	843.750	0.9333	281.250	bk
9	Spectrogram 1	1	2369.688229382	2369.790893681	517.395	1034.790	750.000	0.1027	0.0693	843.750	0.8889	187.500	bk
10	Spectrogram 1	1	2369.722450815	2369.866180833	155.219	482.902	281.250	0.1437	0.1173	468.750	0.9615	281.250	bm
11	Spectrogram 1	1	2369.866180833	2369.955156558	413.916	965.804	750.000	0.0890	0.0587	843.750	0.8750	281.250	bk
12	Spectrogram 1	1	2370.047554427	2370.143374439	465.656	965.804	750.000	0.0958	0.0800	843.750	1.0000	281.250	bk
13	Spectrogram 1	1	2370.242616594	2370.352125180	465.656	948.558	750.000	0.1095	0.0853	843.750	0.9500	281.250	bk
14	Spectrogram 1	1	2370.410301616	2370.625896643	137.972	448.409	281.250	0.2156	0.1867	375.000	0.9500	187.500	bm
15	Spectrogram 1	1	2370.458211622	2370.530076631	482.902	948.558	750.000	0.0719	0.0533	843.750	0.9231	281.250	bk
16	Spectrogram 1	1	2370.530076631	2370.619052356	500.149	914.065	750.000	0.0890	0.0693	843.750	0.8125	281.250	bk
17	Spectrogram 1	1	2370.663540219	2370.759360231	448.409	1017.544	750.000	0.0958	0.0747	843.750	0.9412	281.250	bk
18	Spectrogram 1	1	2370.899668105	2370.998910261	431.163	948.558	750.000	0.0992	0.0800	843.750	0.9444	281.250	bk
20	Spectrogram 1	1	2371.128951706	2371.265837437	155.219	431.163	281.250	0.1369	0.0960	375.000	0.8400	187.500	bm
19	Spectrogram 1	1	2371.139218135	2371.235038147	500.149	983.051	750.000	0.0958	0.0747	843.750	0.8824	281.250	bk
21	Spectrogram 1	1	2371.399301025	2371.508809610	517.395	1000.297	750.000	0.1095	0.0747	843.750	0.9474	281.250	bk
22	Spectrogram 1	1	2371.827068936	2371.963954667	189.712	465.656	281.250	0.1369	0.0960	375.000	0.9200	93.750	bm
23	Spectrogram 1	1	2371.974221097	2372.028975390	448.409	879.572	656.250	0.0548	0.0373	750.000	1.0000	281.250	bk
24	Spectrogram 1	1	2372.744203337	2372.850289779	155.219	448.409	281.250	0.1061	0.0747	375.000	0.9474	187.500	bm
25	Spectrogram 1	1	2372.846867635	2372.915310501	500.149	827.832	656.250	0.0684	0.0533	750.000	1.0000	187.500	bk
26	Spectrogram 1	1	2373.603161301	2373.716092030	172.465	482.902	281.250	0.1129	0.0907	375.000	1.0000	187.500	bm
27	Spectrogram 1	1	2373.719514173	2373.781112752	465.656	862.325	656.250	0.0616	0.0480	843.750	0.9000	375.000	bk
28	Spectrogram 1	1	2374.475807839	2374.564783565	137.972	431.163	281.250	0.0890	0.0587	375.000	0.8000	187.500	bm
29	Spectrogram 1	1	2374.588738568	2374.650337147	431.163	827.832	656.250	0.0616	0.0427	750.000	0.9000	281.250	bk
30	Spectrogram 1	1	2375.355298664	2375.495606539	155.219	431.163	281.250	0.1403	0.1013	375.000	0.8400	187.500	bm
31	Spectrogram 1	1	2376.292965924	2376.778910271	120.726	465.656	281.250	0.4859	0.4107	375.000	0.9121	187.500	bm
