Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Delta Time (s)	Dur 90% (s)	Freq 95% (Hz)	Time 95% Rel.	BW 90% (Hz)	Sequence
1	Spectrogram 1	1	214.3129341	214.9213089	137.036	395.883	258.398	0.6084	0.3483	344.531	0.6731	172.266	bm
2	Spectrogram 1	1	215.9018659	216.3814084	121.81	502.467	344.531	0.4795	0.267	430.664	0.6585	172.266	bm
3	Spectrogram 1	1	216.8323215	217.6053153	76.131	380.657	258.398	0.773	0.4122	344.531	0.6818	172.266	bm
4	Spectrogram 1	1	218.2717749	219.3447093	137.036	426.336	258.398	1.0729	0.8301	344.531	0.962	172.266	bm
5	Spectrogram 1	1	219.394653	220.3394232	593.825	959.255	861.328	0.9448	0.7779	947.461	0.9689	172.266	us
6	Spectrogram 1	1	219.6523176	220.3501593	121.81	411.109	258.398	0.6978	0.476	344.531	0.7731	172.266	bm
7	Spectrogram 1	1	220.3966821	220.4682556	563.372	913.576	775.195	0.0716	0.0406	861.328	0.75	172.266	bk
8	Spectrogram 1	1	220.4897276	220.6758187	624.277	822.219	775.195	0.1861	0.1335	775.195	0.871	86.133	bk
9	Spectrogram 1	1	220.7008695	220.793915	487.241	898.35	689.062	0.093	0.0522	775.195	0.7333	172.266	bk
10	Spectrogram 1	1	220.7438136	221.1517825	76.131	395.883	258.398	0.408	0.3077	344.531	0.8551	172.266	bm
11	Spectrogram 1	1	220.8547525	220.9835848	441.562	898.35	689.062	0.1288	0.0813	861.328	0.9048	258.398	bk
12	Spectrogram 1	1	221.0372649	221.1553612	441.562	928.803	775.195	0.1181	0.0639	861.328	0.7895	258.398	bk
13	Spectrogram 1	1	221.223356	221.3378737	441.562	913.576	689.062	0.1145	0.058	861.328	0.8333	258.398	bk
14	Spectrogram 1	1	221.4237619	221.5275434	380.657	883.124	775.195	0.1038	0.0697	861.328	1	258.398	bk
15	Spectrogram 1	1	221.498914	221.6671118	639.504	944.029	775.195	0.1682	0.1277	861.328	0.8571	172.266	bk
16	Spectrogram 1	1	221.6420611	221.7494213	350.204	928.803	689.062	0.1074	0.0871	775.195	0.8824	172.266	bk
17	Spectrogram 1	1	221.7315279	222.2790653	121.81	411.109	258.398	0.5475	0.4586	344.531	0.9043	172.266	bm
18	Spectrogram 1	1	221.8675176	222.0106646	380.657	913.576	689.062	0.1431	0.0697	775.195	0.7391	172.266	bk
19	Spectrogram 1	1	222.4615777	222.6941916	548.146	928.803	775.195	0.2326	0.1625	861.328	0.9231	172.266	bk
20	Spectrogram 1	1	222.7836585	223.273937	121.81	395.883	258.398	0.4903	0.3831	344.531	0.869	172.266	bm
21	Spectrogram 1	1	223.3956119	223.6532766	532.92	883.124	775.195	0.2577	0.1625	861.328	0.8372	172.266	bk
22	Spectrogram 1	1	223.6617518	224.1577308	76.131	456.788	258.398	0.496	0.3367	344.531	0.8095	86.133	bm
23	Spectrogram 1	1	224.2690731	224.5221236	578.598	898.35	775.195	0.2531	0.1451	861.328	0.7907	172.266	bk
24	Spectrogram 1	1	224.5423677	225.0484688	76.131	395.883	258.398	0.5061	0.3715	344.531	0.8391	172.266	bm
25	Spectrogram 1	1	225.1092009	225.3723735	593.825	928.803	775.195	0.2632	0.1567	861.328	0.7955	172.266	bk
26	Spectrogram 1	1	225.6962782	225.8683526	45.679	456.788	258.398	0.1721	0.0929	344.531	0.7241	172.266	bm
27	Spectrogram 1	1	225.7671324	225.9796949	624.277	852.671	775.195	0.2126	0.1103	775.195	0.8333	86.133	bk
28	Spectrogram 1	1	226.3643317	226.495918	517.693	898.35	689.062	0.1316	0.0755	775.195	0.7727	172.266	bk
29	Spectrogram 1	1	226.7995787	226.9311649	91.358	365.431	258.398	0.1316	0.0697	344.531	0.7727	172.266	bm
30	Spectrogram 1	1	226.8856158	227.0121411	487.241	913.576	689.062	0.1265	0.0639	775.195	0.7619	172.266	bk
31	Spectrogram 1	1	227.411961	227.5536693	91.358	472.014	258.398	0.1417	0.0929	344.531	0.8261	172.266	bm
32	Spectrogram 1	1	227.4929372	227.6245235	502.467	837.445	689.062	0.1316	0.0697	775.195	0.8095	172.266	bk
33	Spectrogram 1	1	228.1053195	228.3988582	91.358	502.467	258.398	0.2935	0.1567	344.531	0.76	172.266	bm
34	Spectrogram 1	1	228.8442271	229.4515485	106.584	441.562	258.398	0.6073	0.2554	344.531	0.5865	172.266	bm
35	Spectrogram 1	1	230.2410662	230.9698518	106.584	426.336	258.398	0.7288	0.3077	344.531	0.64	172.266	bm
36	Spectrogram 1	1	231.6581493	232.5286432	91.358	365.431	258.398	0.8705	0.685	344.531	0.8188	172.266	bm
37	Spectrogram 1	1	232.9132801	233.8849942	121.81	472.014	344.531	0.9717	0.5921	344.531	0.8982	86.133	bm
