Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Delta Time (s)	Dur 90% (s)	Freq 95% (Hz)	Time 95% Rel.	BW 90% (Hz)	Sequence
1	Spectrogram 1	1	1733.886460608	1734.344136477	100.000	550.000	375.000	0.4577	0.3520	375.000	0.9412	93.750	bm
2	Spectrogram 1	1	1734.378381122	1734.519967371	123.744	477.297	281.250	0.1416	0.1227	375.000	0.9231	187.500	bm
3	Spectrogram 1	1	1734.472771955	1734.573904989	477.297	954.594	750.000	0.1011	0.0747	843.750	1.0000	281.250	bk
4	Spectrogram 1	1	1735.854923426	1736.013365180	141.421	441.942	281.250	0.1584	0.1013	375.000	0.7931	187.500	bm
5	Spectrogram 1	1	1737.169652874	1737.516876292	159.099	548.008	375.000	0.3472	0.2347	375.000	0.7812	93.750	bm
6	Spectrogram 1	1	1737.412372157	1738.127045600	654.074	1096.016	937.500	0.7147	0.6347	937.500	0.9850	187.500	us
7	Spectrogram 1	1	1737.911295127	1738.062994678	123.744	459.619	281.250	0.1517	0.0907	375.000	0.7407	187.500	bm
8	Spectrogram 1	1	1738.093334589	1738.191096522	565.685	1025.305	843.750	0.0978	0.0747	937.500	1.0000	281.250	bk
9	Spectrogram 1	1	1738.234920837	1738.352909377	512.652	1096.016	750.000	0.1180	0.0800	937.500	0.8571	375.000	bk
10	Spectrogram 1	1	1738.396733692	1738.507980030	424.264	1025.305	750.000	0.1112	0.0853	843.750	0.9000	281.250	bk
11	Spectrogram 1	1	1738.568659851	1738.696761694	335.876	1096.016	750.000	0.1281	0.0960	843.750	0.9565	375.000	bk
12	Spectrogram 1	1	1738.757441515	1738.868687853	441.942	954.594	750.000	0.1112	0.0907	843.750	0.9474	281.250	bk
16	Spectrogram 1	1	1738.787781425	1738.939480977	159.099	424.264	281.250	0.1517	0.0800	375.000	0.6786	187.500	bm
13	Spectrogram 1	1	1738.899027763	1738.993418595	424.264	989.949	750.000	0.0944	0.0800	843.750	0.8824	281.250	bk
14	Spectrogram 1	1	1739.013645202	1739.114778237	459.619	936.916	750.000	0.1011	0.0853	843.750	0.9444	281.250	bk
15	Spectrogram 1	1	1739.212540170	1739.337270913	406.586	1060.660	750.000	0.1247	0.0853	843.750	0.9091	281.250	bk
17	Spectrogram 1	1	1739.482228262	1739.600216802	123.744	477.297	281.250	0.1180	0.0693	375.000	0.8182	187.500	bm
18	Spectrogram 1	1	1739.566505791	1739.684494331	441.942	936.916	656.250	0.1180	0.0693	750.000	0.8571	187.500	bk
19	Spectrogram 1	1	1740.065428761	1740.395796673	123.744	512.652	281.250	0.3304	0.2347	375.000	0.8197	187.500	bm
20	Spectrogram 1	1	1740.301405841	1740.416023280	477.297	901.561	750.000	0.1146	0.0800	843.750	0.9524	281.250	bk
21	Spectrogram 1	1	1740.894719643	1741.292509579	141.421	494.975	281.250	0.3978	0.3413	375.000	0.9459	93.750	bm
