Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Delta Time (s)	Dur 90% (s)	Freq 95% (Hz)	Time 95% Rel.	BW 90% (Hz)	Sequence
1	Spectrogram 1	1	96.548943100	96.932614611	92.647	509.559	258.398	0.3837	0.2322	344.531	0.8000	86.133	bm
2	Spectrogram 1	1	99.242868962	99.499592095	92.647	509.559	344.531	0.2567	0.1277	344.531	0.6977	86.133	bm
3	Spectrogram 1	1	99.582943762	100.483141760	579.044	1065.441	861.328	0.9002	0.7721	947.461	0.9156	172.266	us
4	Spectrogram 1	1	100.479807694	100.563159360	509.559	1042.279	775.195	0.0834	0.0348	861.328	0.7692	172.266	bk
5	Spectrogram 1	1	100.619838493	100.703190160	486.397	972.794	775.195	0.0834	0.0522	861.328	0.8462	258.398	bk
6	Spectrogram 1	1	100.776539626	100.863225360	509.559	972.794	775.195	0.0867	0.0580	861.328	0.8571	258.398	bk
7	Spectrogram 1	1	100.943242959	101.049933093	347.426	949.632	775.195	0.1067	0.0755	861.328	0.8824	258.398	bk
8	Spectrogram 1	1	101.136618826	101.246643026	393.750	995.956	775.195	0.1100	0.0755	861.328	0.8889	344.531	bk
9	Spectrogram 1	1	101.343330959	101.456689225	416.912	972.794	775.195	0.1134	0.0813	861.328	0.8947	344.531	bk
10	Spectrogram 1	1	101.570047492	101.680071692	370.588	995.956	775.195	0.1100	0.0755	861.328	0.8824	344.531	bk
11	Spectrogram 1	1	101.806766225	101.920124491	370.588	972.794	689.062	0.1134	0.0639	861.328	0.8421	344.531	bk
12	Spectrogram 1	1	102.066823424	102.180181691	370.588	949.632	689.062	0.1134	0.0755	861.328	0.8421	344.531	bk
13	Spectrogram 1	1	102.330214690	102.433570757	393.750	926.471	689.062	0.1034	0.0697	861.328	0.8824	344.531	bk
14	Spectrogram 1	1	103.641534368	103.886718647	138.971	463.235	258.398	0.2452	0.1393	344.531	0.7619	86.133	bm
