Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Delta Time (s)	Dur 90% (s)	Freq 95% (Hz)	Time 95% Rel.	BW 90% (Hz)	Sequence
1	Spectrogram 1	1	110.924344325	111.185991134	111.139	444.556	258.398	0.2616	0.1683	344.531	0.7955	86.133	bm
2	Spectrogram 1	1	111.850346511	112.139295596	111.139	511.240	258.398	0.2889	0.1858	344.531	0.7959	172.266	bm
3	Spectrogram 1	1	112.464647715	112.928786403	133.367	511.240	344.531	0.4641	0.3367	430.664	0.8734	172.266	bm
4	Spectrogram 1	1	113.119902334	113.272340040	111.139	466.784	258.398	0.1524	0.0871	344.531	0.7600	172.266	bm
5	Spectrogram 1	1	113.256413712	113.349696488	511.240	1000.252	689.062	0.0933	0.0755	861.328	1.0000	344.531	bk
6	Spectrogram 1	1	113.638645573	113.777432141	111.139	489.012	258.398	0.1388	0.0813	344.531	0.8182	86.133	bm
7	Spectrogram 1	1	113.781982521	113.875265296	489.012	1022.480	775.195	0.0933	0.0697	861.328	0.9333	344.531	bk
8	Spectrogram 1	1	114.148288054	114.282524243	111.139	444.556	258.398	0.1342	0.0987	344.531	0.8636	172.266	bm
9	Spectrogram 1	1	114.869523172	115.056088723	133.367	600.151	344.531	0.1866	0.1219	430.664	0.8065	172.266	bm
10	Spectrogram 1	1	115.037887205	115.618060565	600.151	1111.391	861.328	0.5802	0.4238	947.461	0.8182	172.266	us
12	Spectrogram 1	1	115.568030991	115.818301852	111.139	444.556	258.398	0.2503	0.1858	344.531	0.8810	172.266	bm
11	Spectrogram 1	1	115.597608456	115.668139335	511.240	1022.480	775.195	0.0705	0.0464	861.328	0.9091	258.398	bk
13	Spectrogram 1	1	115.765972490	115.861530455	400.101	1000.252	775.195	0.0956	0.0580	861.328	0.8000	258.398	bk
14	Spectrogram 1	1	115.961638799	116.102700558	400.101	1044.708	775.195	0.1411	0.0697	861.328	0.7826	258.398	bk
15	Spectrogram 1	1	116.191432954	116.434878246	111.139	466.784	258.398	0.2434	0.1741	344.531	0.8293	172.266	bm
16	Spectrogram 1	1	116.537261780	116.703350624	555.696	1022.480	775.195	0.1661	0.0987	861.328	0.8889	172.266	bk
17	Spectrogram 1	1	116.785257451	117.033253123	111.139	511.240	258.398	0.2480	0.1916	344.531	0.9024	172.266	bm
18	Spectrogram 1	1	117.203892346	117.324477398	133.367	555.696	344.531	0.1206	0.0639	430.664	0.7368	172.266	bm
19	Spectrogram 1	1	117.228919432	117.404109035	489.012	1044.708	775.195	0.1752	0.1277	861.328	0.9655	344.531	bk
20	Spectrogram 1	1	117.435961690	117.638453569	133.367	466.784	258.398	0.2025	0.1335	344.531	0.7941	86.133	bm
21	Spectrogram 1	1	117.718197808	117.853337178	555.696	978.024	775.195	0.1351	0.0697	861.328	0.8261	172.266	bk
22	Spectrogram 1	1	117.911254051	118.149356751	133.367	444.556	258.398	0.2381	0.1509	344.531	0.7750	86.133	bm
