Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Delta Time (s)	Dur 90% (s)	Freq 95% (Hz)	Time 95% Rel.	BW 90% (Hz)	Sequence
1	Spectrogram 1	1	547.726717159	548.135374913	154.680	448.571	258.398	0.4087	0.2612	344.531	0.7826	172.266	bm
2	Spectrogram 1	1	548.369974735	548.629800344	510.443	804.334	689.062	0.2598	0.1625	775.195	0.8409	172.266	us
3	Spectrogram 1	1	548.632322923	548.718090600	510.443	835.270	689.062	0.0858	0.0639	775.195	0.8571	258.398	bk
4	Spectrogram 1	1	548.776109911	548.866922745	448.571	881.674	602.930	0.0908	0.0464	689.062	0.8571	172.266	bk
5	Spectrogram 1	1	548.947645264	549.040980677	402.167	835.270	602.930	0.0933	0.0580	689.062	0.9333	172.266	bk
6	Spectrogram 1	1	549.139361248	549.242786976	386.699	866.206	602.930	0.1034	0.0580	689.062	0.8824	172.266	bk
7	Spectrogram 1	1	549.366393334	549.452161010	371.231	804.334	602.930	0.0858	0.0580	689.062	0.9286	172.266	bk
8	Spectrogram 1	1	549.598470577	549.681715675	386.699	835.270	602.930	0.0832	0.0580	689.062	0.9286	172.266	bk
