Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Delta Time (s)	Dur 90% (s)	Freq 95% (Hz)	Time 95% Rel.	BW 90% (Hz)	Sequence
1	Spectrogram 1	1	694.367546944	694.726682939	126.762	411.976	258.398	0.3591	0.2322	344.531	0.8197	86.133	bm
2	Spectrogram 1	1	695.314360020	695.742874559	123.247	448.171	258.398	0.4285	0.3077	344.531	0.8904	172.266	bm
3	Spectrogram 1	1	696.729580144	696.980641874	145.655	369.741	258.398	0.2511	0.1741	258.398	0.9048	86.133	bm
4	Spectrogram 1	1	697.384649256	697.886772716	123.247	526.601	344.531	0.5021	0.2961	344.531	0.8353	86.133	bm
5	Spectrogram 1	1	700.134785218	700.460876890	156.860	504.192	344.531	0.3261	0.1741	430.664	0.8364	172.266	bm
6	Spectrogram 1	1	700.472419958	701.211176313	683.460	1041.997	861.328	0.7388	0.5921	947.461	0.8730	172.266	us
7	Spectrogram 1	1	701.211176313	701.315063926	504.192	963.567	775.195	0.1039	0.0580	861.328	0.7647	258.398	bk
8	Spectrogram 1	1	701.358350431	701.439151907	481.784	941.159	775.195	0.0808	0.0522	861.328	0.9231	258.398	bk
9	Spectrogram 1	1	701.505524548	701.606526394	470.579	963.567	775.195	0.1010	0.0580	861.328	0.8125	258.398	bk
10	Spectrogram 1	1	701.667127501	701.768129347	403.354	963.567	689.062	0.1010	0.0697	861.328	0.9375	344.531	bk
11	Spectrogram 1	1	701.848930823	701.935503833	436.966	974.771	689.062	0.0866	0.0580	861.328	0.8571	258.398	bk
12	Spectrogram 1	1	702.016305310	702.114421388	470.579	929.954	689.062	0.0981	0.0755	861.328	0.9375	344.531	bk
13	Spectrogram 1	1	702.212537466	702.310653545	425.762	929.954	689.062	0.0981	0.0580	861.328	0.8667	344.531	bk
14	Spectrogram 1	1	702.414541157	702.521314537	403.354	952.363	689.062	0.1068	0.0755	861.328	0.8333	344.531	bk
15	Spectrogram 1	1	702.619430615	702.717546693	403.354	952.363	689.062	0.0981	0.0639	861.328	0.8750	344.531	bk
16	Spectrogram 1	1	702.832977374	702.931093452	414.558	952.363	689.062	0.0981	0.0639	775.195	0.9375	258.398	bk
17	Spectrogram 1	1	703.060952968	703.164840580	414.558	929.954	689.062	0.1039	0.0580	775.195	0.8235	258.398	bk
18	Spectrogram 1	1	703.288928562	703.387044640	403.354	918.750	689.062	0.0981	0.0639	775.195	0.8750	258.398	bk
19	Spectrogram 1	1	703.519789923	703.615020234	414.558	896.341	689.062	0.0952	0.0755	775.195	0.9333	258.398	bk
20	Spectrogram 1	1	704.567323348	704.792413175	123.247	336.128	172.266	0.2251	0.1567	258.398	0.9211	86.133	bm
21	Spectrogram 1	1	704.925158457	705.294536635	100.838	302.515	172.266	0.3694	0.2670	258.398	0.8571	86.133	bm
22	Spectrogram 1	1	705.398424247	705.733173221	89.634	268.902	172.266	0.3347	0.2902	258.398	0.9123	86.133	bm
23	Spectrogram 1	1	707.932127683	708.324591997	112.043	347.332	172.266	0.3925	0.2902	344.531	0.8636	172.266	bm
24	Spectrogram 1	1	709.882906183	710.413887313	179.268	436.966	344.531	0.5310	0.3657	344.531	0.9000	86.133	bm
25	Spectrogram 1	1	710.760179355	711.279617417	123.247	313.720	172.266	0.5194	0.3947	258.398	0.8539	86.133	bm
26	Spectrogram 1	1	712.358894279	712.745587059	179.268	448.171	344.531	0.3867	0.1916	430.664	0.7273	172.266	bm
27	Spectrogram 1	1	713.282339723	713.980695340	145.655	481.784	344.531	0.6984	0.3947	430.664	0.8319	172.266	bm
