Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Delta Time (s)	Dur 90% (s)	Freq 95% (Hz)	Time 95% Rel.	BW 90% (Hz)	Sequence
1	Spectrogram 1	1	622.884102098	623.352354477	169.475	457.583	258.398	0.4683	0.2902	344.531	0.7750	86.133	bm
2	Spectrogram 1	1	625.573017050	625.837196119	169.475	474.530	344.531	0.2642	0.1393	344.531	0.7778	86.133	bm
3	Spectrogram 1	1	625.861852832	626.721315403	576.215	1067.693	861.328	0.8595	0.7314	947.461	0.9116	172.266	us
4	Spectrogram 1	1	626.717793015	626.798807930	576.215	982.955	775.195	0.0810	0.0406	861.328	0.8462	172.266	bk
5	Spectrogram 1	1	626.851643743	626.939703433	423.688	999.903	689.062	0.0881	0.0522	861.328	0.8667	258.398	bk
6	Spectrogram 1	1	626.999584022	627.094688487	355.898	1050.745	689.062	0.0951	0.0522	861.328	0.8667	258.398	bk
7	Spectrogram 1	1	627.168658626	627.274330254	322.003	1033.798	689.062	0.1057	0.0522	861.328	0.8235	258.398	bk
8	Spectrogram 1	1	627.358867556	627.471583958	338.950	999.903	689.062	0.1127	0.0639	861.328	0.8333	258.398	bk
9	Spectrogram 1	1	627.556121260	627.672360051	322.003	982.955	689.062	0.1162	0.0580	861.328	0.8421	344.531	bk
10	Spectrogram 1	1	627.792121229	627.904837631	338.950	999.903	689.062	0.1127	0.0639	861.328	0.8333	344.531	bk
11	Spectrogram 1	1	628.024598809	628.147882375	288.108	999.903	689.062	0.1233	0.0697	861.328	0.8500	344.531	bk
12	Spectrogram 1	1	628.288777878	628.397971893	355.898	999.903	689.062	0.1092	0.0697	775.195	0.8889	258.398	bk
13	Spectrogram 1	1	628.549434560	628.672718125	372.845	966.008	689.062	0.1233	0.0522	775.195	0.9000	258.398	bk
14	Spectrogram 1	1	629.479344882	630.109852260	135.580	457.583	344.531	0.6305	0.4644	344.531	0.8704	86.133	bm
15	Spectrogram 1	1	631.656180410	631.895702766	152.528	508.425	258.398	0.2395	0.1335	344.531	0.7750	86.133	bm
16	Spectrogram 1	1	632.202150486	632.638926546	152.528	491.478	258.398	0.4368	0.3077	344.531	0.8378	86.133	bm
