Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Delta Time (s)	Dur 90% (s)	Freq 95% (Hz)	Time 95% Rel.	BW 90% (Hz)	Sequence
1	Spectrogram 1	1	187.941248618	188.309025037	92.647	463.235	344.531	0.3678	0.2322	344.531	0.7937	86.133	bm
2	Spectrogram 1	1	190.815030620	191.025076819	138.971	486.397	344.531	0.2100	0.1219	344.531	0.7778	86.133	bm
3	Spectrogram 1	1	191.148437286	191.888600085	625.368	1019.118	861.328	0.7402	0.4934	947.461	0.7698	172.266	us
4	Spectrogram 1	1	191.895268218	192.005292418	509.559	1019.118	861.328	0.1100	0.0987	947.461	0.9444	258.398	bk
5	Spectrogram 1	1	192.038633084	192.125318818	416.912	1019.118	689.062	0.0867	0.0697	861.328	0.8571	258.398	bk
6	Spectrogram 1	1	192.192000151	192.282019951	440.074	1042.279	689.062	0.0900	0.0697	861.328	0.9286	258.398	bk
7	Spectrogram 1	1	192.358703484	192.472061750	370.588	1019.118	689.062	0.1134	0.0755	861.328	0.8947	344.531	bk
8	Spectrogram 1	1	192.542077150	192.662103550	370.588	1019.118	689.062	0.1200	0.0755	861.328	0.9000	344.531	bk
9	Spectrogram 1	1	192.755457416	192.882151950	370.588	995.956	689.062	0.1267	0.0755	861.328	0.9500	344.531	bk
10	Spectrogram 1	1	192.972171749	193.092198149	370.588	972.794	689.062	0.1200	0.0813	861.328	0.9000	344.531	bk
11	Spectrogram 1	1	193.208890482	193.328916882	393.750	972.794	689.062	0.1200	0.0755	861.328	0.8947	344.531	bk
12	Spectrogram 1	1	193.452277349	193.585640015	370.588	949.632	689.062	0.1334	0.1045	861.328	0.9545	344.531	bk
13	Spectrogram 1	1	193.709000481	193.845697215	324.265	1019.118	689.062	0.1367	0.0871	861.328	0.8636	344.531	bk
14	Spectrogram 1	1	203.091559581	203.808252089	115.809	463.235	258.398	0.7167	0.4818	344.531	0.7967	172.266	bm
15	Spectrogram 1	1	205.430240397	205.769726322	138.971	486.397	258.398	0.3395	0.1741	344.531	0.7069	86.133	bm
16	Spectrogram 1	1	205.986620107	206.524139488	138.971	463.235	258.398	0.5375	0.3135	344.531	0.6739	86.133	bm
