Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Delta Time (s)	Dur 90% (s)	Freq 95% (Hz)	Time 95% Rel.	BW 90% (Hz)	Sequence
1	Spectrogram 1	1	3616.767790963	3617.007934537	106.195	424.779	281.250	0.2401	0.1707	375.000	0.8409	187.500	bm
2	Spectrogram 1	1	3618.115486321	3618.516496450	150.182	488.091	281.250	0.4010	0.2560	375.000	0.8378	187.500	bm
3	Spectrogram 1	1	3619.046402691	3619.251681686	150.182	413.000	281.250	0.2053	0.1493	375.000	0.9189	187.500	bm
4	Spectrogram 1	1	3620.760243599	3621.132610147	150.182	469.319	281.250	0.3724	0.2720	375.000	0.8551	187.500	bm
5	Spectrogram 1	1	3621.590907437	3622.216292281	112.636	488.091	281.250	0.6254	0.4107	375.000	0.8276	187.500	bm
6	Spectrogram 1	1	3622.283127302	3622.450214856	168.955	450.546	281.250	0.1671	0.1173	375.000	0.8667	187.500	bm
7	Spectrogram 1	1	3622.373831974	3622.497954157	488.091	844.774	656.250	0.1241	0.0907	843.750	0.9091	281.250	bk
8	Spectrogram 1	1	3623.190174022	3623.447966247	600.728	938.637	750.000	0.2578	0.1813	843.750	0.8511	187.500	bk
9	Spectrogram 1	1	3624.044707511	3624.259534365	638.273	919.865	750.000	0.2148	0.1493	843.750	0.8462	187.500	bk
10	Spectrogram 1	1	3624.292951876	3624.565065892	187.727	525.637	375.000	0.2721	0.1867	468.750	0.8600	187.500	bm
11	Spectrogram 1	1	3624.634766116	3625.387542388	525.637	1088.819	843.750	0.7528	0.5760	937.500	0.9000	187.500	us
13	Spectrogram 1	1	3624.806925712	3624.992588021	544.410	882.319	843.750	0.1857	0.1440	843.750	0.9118	93.750	bk
12	Spectrogram 1	1	3625.380791031	3625.482061382	450.546	1032.501	843.750	0.1013	0.0853	937.500	0.9444	375.000	bk
14	Spectrogram 1	1	3625.525945200	3625.627215551	488.091	1032.501	750.000	0.1013	0.0747	937.500	0.9444	375.000	bk
15	Spectrogram 1	1	3625.721734545	3625.819629217	431.773	1032.501	750.000	0.0979	0.0800	937.500	0.8889	375.000	bk
16	Spectrogram 1	1	3625.914148211	3626.035672631	525.637	994.956	750.000	0.1215	0.1013	843.750	0.8636	281.250	bk
17	Spectrogram 1	1	3626.082932128	3626.177451122	525.637	994.956	750.000	0.0945	0.0800	937.500	0.8824	375.000	bk
18	Spectrogram 1	1	3626.278721472	3626.393494536	525.637	1032.501	750.000	0.1148	0.0853	843.750	0.9000	281.250	bk
19	Spectrogram 1	1	3626.548775740	3626.812078652	131.409	450.546	281.250	0.2633	0.1867	375.000	0.8776	187.500	bm
20	Spectrogram 1	1	3626.953857142	3627.217160054	619.501	938.637	843.750	0.2633	0.1653	843.750	0.8980	93.750	bk
21	Spectrogram 1	1	3627.244165480	3627.595236029	168.955	450.546	281.250	0.3511	0.2240	375.000	0.7846	187.500	bm
