Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Delta Time (s)	Dur 90% (s)	Freq 95% (Hz)	Time 95% Rel.	BW 90% (Hz)	Sequence
1	Spectrogram 1	1	3703.506804831	3704.209536248	138.462	530.769	375.000	0.7027	0.3840	375.000	0.7710	93.750	bm
2	Spectrogram 1	1	3705.257074409	3705.621472253	554.807	913.800	750.000	0.3644	0.3040	843.750	0.9853	187.500	bk
3	Spectrogram 1	1	3706.125003818	3706.413209385	554.807	897.482	750.000	0.2882	0.1867	843.750	0.8679	187.500	bk
4	Spectrogram 1	1	3706.532466861	3706.757730983	130.543	538.489	375.000	0.2253	0.1440	375.000	0.7857	93.750	bm
5	Spectrogram 1	1	3706.774294521	3707.602471438	571.125	1028.024	750.000	0.8282	0.6027	937.500	0.8571	281.250	us
6	Spectrogram 1	1	3706.979682396	3707.171819441	489.535	832.210	750.000	0.1921	0.1547	750.000	0.9429	93.750	bk
7	Spectrogram 1	1	3707.599158730	3707.701852668	456.900	962.753	750.000	0.1027	0.0747	843.750	0.8947	281.250	bk
8	Spectrogram 1	1	3707.774732237	3707.867488051	456.900	946.435	750.000	0.0928	0.0640	843.750	1.0000	281.250	bk
9	Spectrogram 1	1	3707.814484729	3708.046374265	620.078	897.482	750.000	0.2319	0.1760	843.750	0.9524	187.500	bk
10	Spectrogram 1	1	3707.970181989	3708.076188634	424.264	946.435	750.000	0.1060	0.0747	843.750	0.8421	187.500	bk
11	Spectrogram 1	1	3708.175569864	3708.265012971	391.628	995.389	656.250	0.0894	0.0693	843.750	1.0000	281.250	bk
12	Spectrogram 1	1	3708.377645032	3708.496902508	456.900	962.753	750.000	0.1193	0.0693	843.750	0.8182	281.250	bk
13	Spectrogram 1	1	3708.594214598	3708.720706253	391.628	979.071	750.000	0.1265	0.0907	843.750	1.0000	281.250	bk
15	Spectrogram 1	1	3708.645748235	3708.940895430	587.443	913.800	750.000	0.2951	0.2400	843.750	0.8889	187.500	bk
14	Spectrogram 1	1	3708.847197908	3708.969004687	407.946	930.117	750.000	0.1218	0.0960	843.750	0.8182	281.250	bk
16	Spectrogram 1	1	3709.095496342	3709.282891386	114.225	489.535	281.250	0.1874	0.1173	375.000	0.8235	187.500	bm
17	Spectrogram 1	1	3709.414067917	3709.690475608	538.489	913.800	750.000	0.2764	0.1920	843.750	0.8800	187.500	bk
18	Spectrogram 1	1	3709.840391643	3710.262030493	114.225	440.582	281.250	0.4216	0.3520	375.000	0.9103	187.500	bm
