Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Delta Time (s)	Dur 90% (s)	Freq 95% (Hz)	Time 95% Rel.	BW 90% (Hz)	Sequence
1	Spectrogram 1	1	1102.248779	1102.71529	72.858	564.653	344.531	0.4665	0.2786	430.664	0.7215	172.266	bm
2	Spectrogram 1	1	1105.531199	1105.9221	103.037	643.984	344.531	0.3909	0.1335	430.664	0.5	172.266	bm
3	Spectrogram 1	1	1105.785016	1106.581724	592.465	1262.208	947.461	0.7967	0.5631	1033.594	0.9706	258.398	us
4	Spectrogram 1	1	1106.634567	1106.748382	334.871	1159.171	775.195	0.1138	0.058	861.328	0.7222	258.398	bk
5	Spectrogram 1	1	1106.79716	1106.943495	309.112	1081.893	689.062	0.1463	0.0755	861.328	0.7083	258.398	bk
6	Spectrogram 1	1	1106.980078	1107.130477	309.112	1004.614	689.062	0.1504	0.0697	861.328	0.76	344.531	bk
7	Spectrogram 1	1	1107.19145	1107.325589	283.353	1056.133	689.062	0.1341	0.0697	861.328	0.7273	258.398	bk
8	Spectrogram 1	1	1107.403835	1107.510183	334.871	1056.133	689.062	0.1063	0.0697	861.328	0.8824	258.398	bk
9	Spectrogram 1	1	1107.607909	1107.731503	360.631	1081.893	775.195	0.1236	0.0697	861.328	0.7619	258.398	bk
10	Spectrogram 1	1	1107.829228	1107.955696	257.593	1107.652	775.195	0.1265	0.0697	861.328	0.7619	258.398	bk
11	Spectrogram 1	1	1108.064918	1108.182763	309.112	1133.411	689.062	0.1178	0.0697	861.328	0.8421	258.398	bk
12	Spectrogram 1	1	1108.306357	1108.441448	206.075	1081.893	775.195	0.1351	0.058	861.328	0.5909	258.398	bk
13	Spectrogram 1	1	1108.567916	1108.680013	283.353	1081.893	689.062	0.1121	0.058	861.328	0.7222	258.398	bk
14	Spectrogram 1	1	1110.852964	1110.979432	51.519	540.946	86.133	0.1265	0.0929	258.398	0.8095	172.266	bm
15	Spectrogram 1	1	1115.425933	1115.914559	154.556	540.946	344.531	0.4886	0.2961	430.664	0.8434	172.266	bm
16	Spectrogram 1	1	1116.610133	1116.837201	128.797	592.465	344.531	0.2271	0.1161	430.664	0.7105	172.266	bm
