Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Delta Time (s)	Dur 90% (s)	Freq 95% (Hz)	Time 95% Rel.	BW 90% (Hz)	Sequence
1	Spectrogram 1	1	222.532115559	223.273345481	64.429	402.678	258.398	0.7412	0.5399	344.531	0.8504	258.398	bm
2	Spectrogram 1	1	224.425140847	224.913855450	128.857	467.107	258.398	0.4887	0.2786	344.531	0.8554	86.133	bm
3	Spectrogram 1	1	227.045784368	227.283058849	128.857	515.428	344.531	0.2373	0.1161	344.531	0.6750	86.133	bm
4	Spectrogram 1	1	227.268893208	227.955926779	644.285	1063.071	861.328	0.6870	0.5283	947.461	0.9402	172.266	us
5	Spectrogram 1	1	227.612409994	227.718652299	451.000	773.142	602.930	0.1062	0.0639	689.062	0.9444	172.266	bk
6	Spectrogram 1	1	227.955926779	228.037379213	515.428	1046.964	775.195	0.0815	0.0522	947.461	0.9286	344.531	bk
7	Spectrogram 1	1	228.094041776	228.182577030	499.321	1014.749	775.195	0.0885	0.0406	861.328	0.8000	172.266	bk
8	Spectrogram 1	1	228.228615362	228.338399077	467.107	1046.964	775.195	0.1098	0.0580	861.328	0.8333	258.398	bk
9	Spectrogram 1	1	228.398603050	228.494221124	451.000	982.535	775.195	0.0956	0.0522	861.328	0.8000	258.398	bk
10	Spectrogram 1	1	228.547342277	228.660667402	434.893	966.428	775.195	0.1133	0.0755	861.328	0.8421	258.398	bk
11	Spectrogram 1	1	228.727954195	228.837737910	467.107	1014.749	775.195	0.1098	0.0697	861.328	0.8889	258.398	bk
12	Spectrogram 1	1	228.912107523	229.021891238	418.785	1014.749	775.195	0.1098	0.0697	861.328	0.8889	258.398	bk
13	Spectrogram 1	1	229.092719442	229.209585977	434.893	1063.071	775.195	0.1169	0.0522	861.328	0.7368	258.398	bk
14	Spectrogram 1	1	234.535866862	234.723561600	96.643	402.678	258.398	0.1877	0.1103	344.531	0.8065	172.266	bm
15	Spectrogram 1	1	236.565094885	237.340663711	128.857	434.893	258.398	0.7756	0.4760	344.531	0.8030	86.133	bm
16	Spectrogram 1	1	238.707648033	239.072413280	96.643	483.214	258.398	0.3648	0.2264	344.531	0.7705	86.133	bm
17	Spectrogram 1	1	239.206986866	239.996721333	161.071	451.000	258.398	0.7897	0.4586	344.531	0.7259	86.133	bm
