Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Delta Time (s)	Dur 90% (s)	Freq 95% (Hz)	Time 95% Rel.	BW 90% (Hz)	Sequence
1	Spectrogram 1	1	3327.661584029	3327.938471975	105.189	525.947	281.250	0.2769	0.1813	375.000	0.8039	187.500	bm
2	Spectrogram 1	1	3328.214313581	3328.815828775	123.967	495.868	281.250	0.6015	0.4373	375.000	0.8468	187.500	bm
3	Spectrogram 1	1	3330.026020056	3330.150142239	74.380	520.661	93.750	0.1241	0.1120	375.000	0.9565	281.250	bm
4	Spectrogram 1	1	3331.128797910	3331.443877297	148.760	495.868	281.250	0.3151	0.2080	375.000	0.7414	93.750	bm
5	Spectrogram 1	1	3331.205180792	3331.338850835	619.835	991.736	843.750	0.1337	0.0960	937.500	0.9200	281.250	bk
6	Spectrogram 1	1	3331.326916009	3332.138484127	545.455	1140.496	843.750	0.8116	0.7147	937.500	0.9735	281.250	us
16	Spectrogram 1	1	3331.450608324	3331.649773347	123.967	471.074	281.250	0.1992	0.1813	375.000	0.9730	187.500	bm
17	Spectrogram 1	1	3332.159500778	3332.426179367	123.967	520.661	281.250	0.2667	0.2293	468.750	0.9184	281.250	bm
7	Spectrogram 1	1	3332.196633240	3332.275961681	421.488	1090.909	750.000	0.0793	0.0640	843.750	0.9286	281.250	bk
8	Spectrogram 1	1	3332.351914444	3332.429555046	421.488	1140.496	750.000	0.0776	0.0640	843.750	1.0000	281.250	bk
9	Spectrogram 1	1	3332.530825396	3332.610153837	446.281	1090.909	750.000	0.0793	0.0640	843.750	0.9286	281.250	bk
10	Spectrogram 1	1	3332.713112027	3332.804255343	421.488	1115.702	750.000	0.0911	0.0693	843.750	0.9375	281.250	bk
18	Spectrogram 1	1	3332.858266196	3333.162077248	99.174	446.281	281.250	0.3038	0.2453	375.000	0.8929	187.500	bm
11	Spectrogram 1	1	3332.930843281	3333.005108204	446.281	1066.116	750.000	0.0743	0.0587	843.750	1.0000	281.250	bk
12	Spectrogram 1	1	3333.145783379	3333.224553226	471.074	1016.529	750.000	0.0788	0.0587	843.750	1.0000	281.250	bk
19	Spectrogram 1	1	3333.337612522	3333.476015334	446.281	942.149	750.000	0.1384	0.1120	843.750	0.9200	281.250	bk
13	Spectrogram 1	1	3333.584984949	3333.869033790	99.174	421.488	281.250	0.2840	0.2133	375.000	0.9231	187.500	bm
14	Spectrogram 1	1	3333.983608113	3334.229465513	644.628	991.736	750.000	0.2459	0.2240	843.750	0.9783	187.500	bk
15	Spectrogram 1	1	3334.305848395	3334.589897236	99.174	570.248	281.250	0.2840	0.2347	562.500	0.9231	375.000	bm
