Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Delta Time (s)	Dur 90% (s)	Freq 95% (Hz)	Time 95% Rel.	BW 90% (Hz)	Sequence
1	Spectrogram 1	1	1695.868245023	1696.564210170	122.721	455.821	281.250	0.6960	0.4267	375.000	0.7597	187.500	bm
2	Spectrogram 1	1	1698.148627209	1698.953917223	157.784	473.352	281.250	0.8053	0.4640	375.000	0.6467	187.500	bm
3	Spectrogram 1	1	1698.364862491	1699.293182924	561.010	1069.426	937.500	0.9283	0.8267	1031.250	0.9538	375.000	us
4	Spectrogram 1	1	1699.352834036	1699.468408066	438.289	1034.363	750.000	0.1156	0.0800	937.500	0.9048	375.000	bk
5	Spectrogram 1	1	1699.505690011	1699.617535846	490.884	999.300	750.000	0.1118	0.0853	843.750	0.9500	281.250	bk
6	Spectrogram 1	1	1699.677186958	1699.789032794	438.289	1016.831	750.000	0.1118	0.0960	843.750	0.9500	281.250	bk
7	Spectrogram 1	1	1699.848683906	1699.945616963	333.100	1016.831	750.000	0.0969	0.0853	843.750	1.0000	375.000	bk
8	Spectrogram 1	1	1699.945616963	1700.016452659	403.226	964.237	750.000	0.0708	0.0533	843.750	0.8462	281.250	bk
9	Spectrogram 1	1	1700.046278215	1700.139483077	385.695	981.768	750.000	0.0932	0.0693	843.750	0.9412	281.250	bk
10	Spectrogram 1	1	1700.228959746	1700.325892803	420.758	999.300	750.000	0.0969	0.0960	843.750	1.0000	281.250	bk
11	Spectrogram 1	1	1700.400456693	1700.504846139	403.226	929.173	750.000	0.1044	0.0853	843.750	1.0000	281.250	bk
12	Spectrogram 1	1	1700.523487112	1700.612963780	420.758	911.642	656.250	0.0895	0.0640	843.750	0.8667	281.250	bk
13	Spectrogram 1	1	1701.981211165	1702.611276037	227.910	508.416	281.250	0.6301	0.4640	375.000	0.8462	93.750	bm
14	Spectrogram 1	1	1703.353186744	1703.931056893	175.316	420.758	281.250	0.5779	0.3627	375.000	0.8611	187.500	bm
