Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Delta Time (s)	Dur 90% (s)	Freq 95% (Hz)	Time 95% Rel.	BW 90% (Hz)	Sequence
1	Spectrogram 1	1	42.807416538	43.123191897	91.116	455.579	258.398	0.3158	0.1858	344.531	0.8113	172.266	bm
2	Spectrogram 1	1	43.142138418	43.637905732	136.674	478.357	344.531	0.4958	0.3019	430.664	0.7294	172.266	bm
3	Spectrogram 1	1	43.786320150	43.868421744	91.116	546.694	344.531	0.0821	0.0522	344.531	0.7857	86.133	bm
4	Spectrogram 1	1	44.275771957	44.496814708	136.674	455.579	258.398	0.2210	0.1509	344.531	0.8378	172.266	bm
5	Spectrogram 1	1	44.961004485	45.090472382	136.674	501.136	258.398	0.1295	0.0813	344.531	0.7619	172.266	bm
6	Spectrogram 1	1	45.542031146	45.722023100	113.895	410.021	258.398	0.1800	0.1277	344.531	0.8333	172.266	bm
7	Spectrogram 1	1	46.129373313	46.258841210	592.252	956.715	775.195	0.1295	0.0871	861.328	0.9048	172.266	bk
8	Spectrogram 1	1	46.457779686	46.669349177	136.674	523.915	258.398	0.2116	0.1800	344.531	0.9429	172.266	bm
9	Spectrogram 1	1	46.861972146	47.098803665	159.452	523.915	344.531	0.2368	0.1219	430.664	0.6750	172.266	bm
10	Spectrogram 1	1	47.032490839	47.840875758	478.357	1047.831	861.328	0.8084	0.6444	947.461	0.9058	172.266	us
11	Spectrogram 1	1	47.831402497	47.938766119	455.579	1070.610	775.195	0.1074	0.0813	861.328	0.9444	172.266	bk
12	Spectrogram 1	1	48.008236698	48.096653799	296.126	1002.273	775.195	0.0884	0.0697	861.328	0.9286	258.398	bk
17	Spectrogram 1	1	48.096653799	48.384009375	159.452	410.021	258.398	0.2874	0.2264	344.531	0.8750	172.266	bm
13	Spectrogram 1	1	48.169282131	48.282961260	387.242	956.715	689.062	0.1137	0.0697	861.328	0.8421	344.531	bk
14	Spectrogram 1	1	48.365062854	48.469268722	318.905	979.494	689.062	0.1042	0.0639	861.328	0.8235	344.531	bk
15	Spectrogram 1	1	48.579790098	48.693469227	341.684	1002.273	689.062	0.1137	0.0755	861.328	0.8947	344.531	bk
16	Spectrogram 1	1	48.829252631	48.927142993	341.684	956.715	689.062	0.0979	0.0697	861.328	0.8750	344.531	bk
18	Spectrogram 1	1	48.841883646	49.126081469	182.231	410.021	258.398	0.2842	0.2322	344.531	0.8958	86.133	bm
19	Spectrogram 1	1	49.323326456	49.577873519	546.694	956.715	775.195	0.2545	0.1741	861.328	0.9302	172.266	bk
20	Spectrogram 1	1	49.586804995	49.894940914	182.231	432.800	258.398	0.3081	0.1974	344.531	0.7692	86.133	bm
21	Spectrogram 1	1	50.113762074	50.319186019	546.694	979.494	775.195	0.2054	0.1393	861.328	0.9429	172.266	bk
22	Spectrogram 1	1	50.377240613	50.587130296	136.674	410.021	258.398	0.2099	0.1451	344.531	0.7714	172.266	bm
23	Spectrogram 1	1	50.855074574	51.082827209	592.252	979.494	775.195	0.2278	0.1509	861.328	0.9211	172.266	bk
24	Spectrogram 1	1	51.056032781	51.256990989	159.452	501.136	344.531	0.2010	0.0987	430.664	0.6667	172.266	bm
