Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Delta Time (s)	Dur 90% (s)	Freq 95% (Hz)	Time 95% Rel.	BW 90% (Hz)	Sequence
1	Spectrogram 1	1	851.100745674	851.825723681	144.964	467.107	344.531	0.7250	0.3425	344.531	0.7258	86.133	bm
2	Spectrogram 1	1	853.770786629	854.239369975	112.750	515.428	344.531	0.4686	0.2322	344.531	0.8250	86.133	bm
3	Spectrogram 1	1	854.214602819	854.714736346	628.178	1063.071	861.328	0.5001	0.3135	947.461	0.9176	172.266	us
4	Spectrogram 1	1	854.717862181	854.824140555	434.893	1079.178	775.195	0.1063	0.0755	861.328	0.8824	258.398	bk
5	Spectrogram 1	1	854.877279743	854.986683952	354.357	1046.964	689.062	0.1094	0.0697	861.328	0.8889	344.531	bk
6	Spectrogram 1	1	855.067955650	855.189863197	338.250	1046.964	775.195	0.1219	0.0580	861.328	0.7500	344.531	bk
7	Spectrogram 1	1	855.277386564	855.393042442	402.678	982.535	689.062	0.1157	0.0639	861.328	0.8947	344.531	bk
8	Spectrogram 1	1	855.511824155	855.618102530	370.464	982.535	689.062	0.1063	0.0522	861.328	0.8235	344.531	bk
9	Spectrogram 1	1	855.749387581	855.852540121	402.678	1030.856	689.062	0.1032	0.0522	861.328	0.8750	344.531	bk
10	Spectrogram 1	1	855.986951006	856.102606884	370.464	1063.071	689.062	0.1157	0.0522	861.328	0.8947	344.531	bk
11	Spectrogram 1	1	856.252646942	856.365176986	402.678	1046.964	689.062	0.1125	0.0580	861.328	0.8947	344.531	bk
12	Spectrogram 1	1	856.524594548	856.652753764	370.464	1046.964	689.062	0.1282	0.0580	861.328	0.8095	344.531	bk
