Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Delta Time (s)	Dur 90% (s)	Freq 95% (Hz)	Time 95% Rel.	BW 90% (Hz)	Sequence
1	Spectrogram 1	1	2259.346927327	2259.850240140	89.131	516.960	281.250	0.5033	0.3680	375.000	0.8387	281.250	bm
2	Spectrogram 1	1	2259.962221531	2260.213043406	374.351	980.442	750.000	0.2508	0.1547	750.000	0.8696	93.750	us
3	Spectrogram 1	1	2260.201180209	2260.343538571	338.698	909.137	656.250	0.1424	0.0907	750.000	0.8846	187.500	bk
4	Spectrogram 1	1	2260.346928056	2260.494370644	374.351	980.442	656.250	0.1474	0.1067	750.000	0.8846	281.250	bk
5	Spectrogram 1	1	2260.499454871	2260.587581476	160.436	499.134	281.250	0.0881	0.0587	468.750	0.8125	187.500	bm
6	Spectrogram 1	1	2260.584191991	2260.687571278	303.046	926.964	656.250	0.1034	0.0640	750.000	0.8333	281.250	bk
7	Spectrogram 1	1	2260.674013338	2260.792645306	178.262	463.482	281.250	0.1186	0.0853	375.000	0.9048	187.500	bm
8	Spectrogram 1	1	2260.777392625	2260.887550880	320.872	891.311	656.250	0.1102	0.0640	750.000	0.8500	281.250	bk
9	Spectrogram 1	1	2261.001098621	2261.119730589	303.046	855.659	656.250	0.1186	0.0747	750.000	0.9048	281.250	bk
10	Spectrogram 1	1	2262.620857342	2263.277560728	124.784	481.308	281.250	0.6567	0.5013	375.000	0.8852	187.500	bm
