Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Delta Time (s)	Dur 90% (s)	Freq 95% (Hz)	Time 95% Rel.	BW 90% (Hz)	Sequence
1	Spectrogram 1	1	2883.072027659	2883.671256580	125.000	500.000	281.250	0.5992	0.4160	375.000	0.8559	187.500	bm
2	Spectrogram 1	1	2885.792126389	2886.083027193	125.000	500.000	281.250	0.2909	0.2347	375.000	0.9057	187.500	bm
3	Spectrogram 1	1	2886.032288680	2886.864400280	550.000	1050.000	843.750	0.8321	0.7307	937.500	0.9548	281.250	us
4	Spectrogram 1	1	2886.864400280	2886.959112170	475.000	1000.000	750.000	0.0947	0.0693	843.750	0.9375	187.500	bk
5	Spectrogram 1	1	2887.023380952	2887.124857976	450.000	1075.000	750.000	0.1015	0.0693	843.750	0.9444	281.250	bk
6	Spectrogram 1	1	2887.192509326	2887.307516620	425.000	1075.000	750.000	0.1150	0.0800	843.750	0.9048	281.250	bk
7	Spectrogram 1	1	2887.385315672	2887.493557831	400.000	1000.000	750.000	0.1082	0.0800	843.750	0.9500	281.250	bk
8	Spectrogram 1	1	2887.588269721	2887.693129313	350.000	1125.000	750.000	0.1049	0.0640	843.750	0.8421	375.000	bk
9	Spectrogram 1	1	2887.811519174	2887.916378766	350.000	1025.000	750.000	0.1049	0.0800	843.750	0.9474	281.250	bk
10	Spectrogram 1	1	2888.041533763	2888.159923625	350.000	1000.000	750.000	0.1184	0.0747	843.750	0.9048	375.000	bk
11	Spectrogram 1	1	2888.660543612	2888.975122387	100.000	525.000	281.250	0.3146	0.2400	375.000	0.8621	93.750	bm
12	Spectrogram 1	1	2889.262640623	2889.611045074	150.000	525.000	281.250	0.3484	0.2133	375.000	0.7692	93.750	bm
