Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Delta Time (s)	Dur 90% (s)	Freq 95% (Hz)	Time 95% Rel.	BW 90% (Hz)	Sequence
1	Spectrogram 1	1	200.261477027	200.791979630	113.895	501.136	344.531	0.5305	0.3193	430.664	0.7889	172.266	bm
2	Spectrogram 1	1	203.109770764	203.393968587	136.674	546.694	344.531	0.2842	0.1335	430.664	0.6042	172.266	bm
3	Spectrogram 1	1	203.352917790	204.142356188	478.357	1138.946	861.328	0.7894	0.6560	947.461	0.9259	172.266	us
4	Spectrogram 1	1	204.145513941	204.230773288	364.463	1002.273	775.195	0.0853	0.0697	861.328	0.9231	258.398	bk
5	Spectrogram 1	1	204.271824085	204.398134228	364.463	1093.388	775.195	0.1263	0.0871	861.328	0.9000	344.531	bk
6	Spectrogram 1	1	204.458131546	204.587599444	273.347	1025.052	689.062	0.1295	0.0813	861.328	0.8571	344.531	bk
7	Spectrogram 1	1	204.657070023	204.780222412	296.126	979.494	689.062	0.1232	0.0755	861.328	0.8500	344.531	bk
8	Spectrogram 1	1	204.859166252	204.988634149	318.905	1025.052	689.062	0.1295	0.0697	861.328	0.7619	344.531	bk
9	Spectrogram 1	1	205.092840018	205.215992408	318.905	1047.831	689.062	0.1232	0.0813	861.328	0.9000	344.531	bk
