Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Delta Time (s)	Dur 90% (s)	Freq 95% (Hz)	Time 95% Rel.	BW 90% (Hz)	Sequence
1	Spectrogram 1	1	360.918805013	361.474040555	115.809	393.750	258.398	0.5552	0.4238	344.531	0.8526	172.266	bm
2	Spectrogram 1	1	361.977626279	362.448930867	115.809	463.235	258.398	0.4713	0.2902	344.531	0.7000	172.266	bm
3	Spectrogram 1	1	363.436733634	363.940319358	138.971	463.235	258.398	0.5036	0.3831	344.531	0.8721	172.266	bm
4	Spectrogram 1	1	364.650504354	365.147633850	115.809	463.235	344.531	0.4971	0.4238	430.664	0.9294	258.398	bm
5	Spectrogram 1	1	365.932065459	366.203227003	115.809	486.397	258.398	0.2712	0.1683	344.531	0.7609	86.133	bm
6	Spectrogram 1	1	366.161261526	366.855305953	532.721	1088.603	861.328	0.6940	0.5573	947.461	0.9237	172.266	us
7	Spectrogram 1	1	366.726181409	366.832709158	579.044	1065.441	861.328	0.1065	0.0580	947.461	0.7647	172.266	bk
8	Spectrogram 1	1	366.847770185	366.932227163	486.397	1019.118	775.195	0.0845	0.0406	861.328	0.7692	172.266	bk
9	Spectrogram 1	1	366.984727446	367.069184425	416.912	995.956	775.195	0.0845	0.0522	861.328	0.7857	172.266	bk
10	Spectrogram 1	1	367.119402087	367.208424307	416.912	995.956	775.195	0.0890	0.0522	861.328	0.7857	258.398	bk
11	Spectrogram 1	1	367.274620317	367.361359916	440.074	1088.603	775.195	0.0867	0.0522	861.328	0.8571	258.398	bk
12	Spectrogram 1	1	367.436686410	367.530273872	393.750	1065.441	775.195	0.0936	0.0522	861.328	0.8000	258.398	bk
13	Spectrogram 1	1	367.607882987	367.692339965	416.912	1019.118	775.195	0.0845	0.0522	861.328	0.8462	258.398	bk
14	Spectrogram 1	1	367.776796943	367.874949648	277.941	1088.603	775.195	0.0982	0.0522	861.328	0.8125	258.398	bk
15	Spectrogram 1	1	367.961689247	368.062124572	324.265	995.956	689.062	0.1004	0.0522	861.328	0.7500	258.398	bk
16	Spectrogram 1	1	368.153429413	368.258429980	416.912	995.956	775.195	0.1050	0.0580	861.328	0.7647	258.398	bk
17	Spectrogram 1	1	370.659747302	370.938227068	69.485	440.074	258.398	0.2785	0.2322	344.531	0.9574	258.398	bm
18	Spectrogram 1	1	371.093445298	371.524860672	69.485	463.235	258.398	0.4314	0.3251	344.531	0.8904	172.266	bm
19	Spectrogram 1	1	372.031602540	372.291821338	69.485	509.559	258.398	0.2602	0.1625	344.531	0.7500	172.266	bm
20	Spectrogram 1	1	376.323363190	377.059373094	115.809	440.074	258.398	0.7360	0.5224	344.531	0.8413	172.266	bm
21	Spectrogram 1	1	378.475441704	378.840661068	92.647	416.912	258.398	0.3652	0.2032	344.531	0.7419	172.266	bm
22	Spectrogram 1	1	379.023270751	379.808492385	138.971	440.074	258.398	0.7852	0.3889	344.531	0.6119	172.266	bm
