Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Delta Time (s)	Dur 90% (s)	Freq 95% (Hz)	Time 95% Rel.	BW 90% (Hz)	Sequence
1	Spectrogram 1	1	452.823209042	453.308384289	108.276	417.635	258.398	0.4852	0.2670	344.531	0.7108	172.266	bm
2	Spectrogram 1	1	453.443947961	453.729345166	541.379	850.738	689.062	0.2854	0.1335	775.195	0.7292	172.266	us
3	Spectrogram 1	1	453.718642771	453.836369117	417.635	866.206	689.062	0.1177	0.0464	775.195	0.6842	172.266	bk
4	Spectrogram 1	1	453.889881093	454.011174905	355.763	928.078	602.930	0.1213	0.0580	689.062	0.7500	172.266	bk
5	Spectrogram 1	1	454.071821811	454.193115623	340.295	881.674	602.930	0.1213	0.0639	689.062	0.8500	172.266	bk
6	Spectrogram 1	1	454.282302249	454.400028596	309.359	850.738	602.930	0.1177	0.0580	689.062	0.7895	172.266	bk
7	Spectrogram 1	1	454.539159733	454.646183684	309.359	881.674	602.930	0.1070	0.0580	689.062	0.8235	172.266	bk
8	Spectrogram 1	1	458.645312008	459.094812605	92.808	433.103	258.398	0.4495	0.2612	344.531	0.7662	172.266	bm
