Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Delta Time (s)	Dur 90% (s)	Freq 95% (Hz)	Time 95% Rel.	BW 90% (Hz)	Sequence
1	Spectrogram 1	1	209.873679719	210.321022943	118.633	474.530	344.531	0.4473	0.2264	344.531	0.6974	86.133	bm
2	Spectrogram 1	1	212.765559927	213.036783771	152.528	491.478	344.531	0.2712	0.1509	344.531	0.7111	86.133	bm
3	Spectrogram 1	1	213.075530035	213.910335893	644.005	1033.798	861.328	0.8348	0.5747	947.461	0.7762	172.266	us
4	Spectrogram 1	1	213.903291117	213.994873195	474.530	966.008	775.195	0.0916	0.0522	861.328	0.7857	172.266	bk
5	Spectrogram 1	1	214.008962745	214.104067210	457.583	982.955	775.195	0.0951	0.0697	861.328	0.9333	258.398	bk
6	Spectrogram 1	1	214.146335861	214.262574651	440.635	999.903	689.062	0.1162	0.0580	861.328	0.7895	258.398	bk
7	Spectrogram 1	1	214.311888077	214.417559705	474.530	999.903	689.062	0.1057	0.0580	861.328	0.8235	258.398	bk
8	Spectrogram 1	1	214.502097007	214.611291022	423.688	999.903	689.062	0.1092	0.0580	861.328	0.8333	258.398	bk
9	Spectrogram 1	1	214.702873099	214.808544727	338.950	949.060	689.062	0.1057	0.0580	861.328	0.8333	258.398	bk
10	Spectrogram 1	1	214.910693967	215.026932757	355.898	966.008	689.062	0.1162	0.0639	861.328	0.7895	258.398	bk
11	Spectrogram 1	1	215.143171548	215.241798400	389.793	999.903	689.062	0.0986	0.0464	775.195	0.8125	172.266	bk
12	Spectrogram 1	1	215.368604353	215.481320756	338.950	999.903	689.062	0.1127	0.0639	775.195	0.7895	172.266	bk
13	Spectrogram 1	1	215.601081934	215.731410274	372.845	1016.850	689.062	0.1303	0.0755	861.328	0.8636	344.531	bk
14	Spectrogram 1	1	216.437721149	217.174969577	135.580	474.530	258.398	0.7372	0.5573	344.531	0.8571	86.133	bm
15	Spectrogram 1	1	218.913481072	219.197421345	135.580	491.478	344.531	0.2839	0.1625	344.531	0.7917	86.133	bm
16	Spectrogram 1	1	219.451473168	219.884855689	135.580	474.530	344.531	0.4334	0.2728	344.531	0.7838	86.133	bm
