Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Delta Time (s)	Dur 90% (s)	Freq 95% (Hz)	Time 95% Rel.	BW 90% (Hz)	Sequence
1	Spectrogram 1	1	2037.289057000	2038.606356804	82.895	497.368	344.531	1.3173	0.9752	430.664	0.8628	258.398	bm
2	Spectrogram 1	1	2040.315613911	2040.723734402	124.342	538.816	344.531	0.4081	0.3425	430.664	0.9565	172.266	bm
3	Spectrogram 1	1	2040.578265712	2041.212670832	559.539	1036.184	861.328	0.6344	0.4934	947.461	0.9630	258.398	us
4	Spectrogram 1	1	2041.253078802	2041.333894741	476.645	994.737	689.062	0.0808	0.0580	861.328	0.9231	258.398	bk
5	Spectrogram 1	1	2041.390465898	2041.483404228	414.474	953.289	689.062	0.0929	0.0697	861.328	0.8667	258.398	bk
6	Spectrogram 1	1	2041.530896847	2041.633758744	455.921	953.289	689.062	0.1029	0.0755	775.195	0.8824	172.266	bk
7	Spectrogram 1	1	2041.696618792	2041.808052514	435.197	974.013	689.062	0.1114	0.0697	775.195	0.8333	172.266	bk
8	Spectrogram 1	1	2041.882341662	2041.979489010	414.474	974.013	689.062	0.0971	0.0639	775.195	0.8667	172.266	bk
9	Spectrogram 1	1	2042.053778157	2042.156640055	414.474	974.013	689.062	0.1029	0.0697	775.195	0.8824	172.266	bk
10	Spectrogram 1	1	2042.242358302	2042.353792024	435.197	953.289	689.062	0.1114	0.0755	775.195	0.8333	172.266	bk
11	Spectrogram 1	1	2042.445224822	2042.553801268	414.474	953.289	689.062	0.1086	0.0755	775.195	0.8824	258.398	bk
12	Spectrogram 1	1	2042.655235341	2042.764336859	393.750	932.566	689.062	0.1091	0.0813	775.195	0.8333	258.398	bk
