Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Delta Time (s)	Dur 90% (s)	Freq 95% (Hz)	Time 95% Rel.	BW 90% (Hz)	Sequence
1	Spectrogram 1	1	2498.694910750	2498.800146183	142.610	410.003	281.250	0.1052	0.0747	375.000	0.8421	187.500	bm
2	Spectrogram 1	1	2498.777125932	2498.879072758	466.387	718.487	562.500	0.1019	0.0747	656.250	0.9444	187.500	bk
3	Spectrogram 1	1	2499.198067663	2499.339477776	151.261	415.966	281.250	0.1414	0.1227	375.000	0.9231	187.500	bm
4	Spectrogram 1	1	2499.300014488	2499.388806885	491.597	781.513	656.250	0.0888	0.0693	750.000	1.0000	187.500	bk
5	Spectrogram 1	1	2499.474310674	2499.681492932	176.471	441.176	281.250	0.2072	0.1707	375.000	0.9211	187.500	bm
6	Spectrogram 1	1	2499.714379005	2500.612168790	642.857	957.983	843.750	0.8978	0.7520	937.500	0.9461	281.250	us
7	Spectrogram 1	1	2499.921561263	2500.026796695	176.471	466.387	281.250	0.1052	0.0907	375.000	0.8947	187.500	bm
9	Spectrogram 1	1	2500.674652328	2500.737135866	554.622	932.773	750.000	0.0625	0.0533	843.750	0.9091	281.250	bk
10	Spectrogram 1	1	2500.819351048	2500.888411801	542.017	920.168	656.250	0.0691	0.0587	843.750	0.9167	281.250	bk
8	Spectrogram 1	1	2500.927875088	2501.598750971	163.866	466.387	281.250	0.6709	0.5440	375.000	0.9040	187.500	bm
11	Spectrogram 1	1	2501.042976342	2501.118614310	516.807	920.168	656.250	0.0756	0.0640	843.750	1.0000	281.250	bk
12	Spectrogram 1	1	2501.220561135	2501.299487710	504.202	857.143	656.250	0.0789	0.0640	843.750	0.9286	281.250	bk
13	Spectrogram 1	1	2501.411300357	2501.486938324	491.597	882.353	656.250	0.0756	0.0587	843.750	0.9231	281.250	bk
14	Spectrogram 1	1	2501.605328186	2501.671100331	441.176	857.143	656.250	0.0658	0.0480	843.750	0.9091	375.000	bk
15	Spectrogram 1	1	2501.815799051	2501.894725626	478.992	857.143	656.250	0.0789	0.0533	843.750	0.9286	281.250	bk
16	Spectrogram 1	1	2502.029558524	2502.111773706	453.782	882.353	656.250	0.0822	0.0693	843.750	1.0000	375.000	bk
17	Spectrogram 1	1	2502.259761033	2502.338687607	453.782	831.933	656.250	0.0789	0.0587	750.000	0.9286	281.250	bk
18	Spectrogram 1	1	2503.946816563	2504.515745621	138.655	453.782	281.250	0.5689	0.4107	375.000	0.8857	187.500	bm
19	Spectrogram 1	1	2505.841054352	2506.459312519	189.076	491.597	281.250	0.6183	0.4320	375.000	0.9304	93.750	bm
20	Spectrogram 1	1	2506.886831464	2507.182806119	138.655	415.966	281.250	0.2960	0.2453	375.000	0.9259	187.500	bm
21	Spectrogram 1	1	2507.639922529	2507.968783257	201.681	441.176	281.250	0.3289	0.2667	375.000	0.9016	93.750	bm
