Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Delta Time (s)	Dur 90% (s)	Freq 95% (Hz)	Time 95% Rel.	BW 90% (Hz)	Sequence
1	Spectrogram 1	1	2496.996980103	2497.421289368	87.658	455.821	281.250	0.4243	0.2933	375.000	0.8734	281.250	bm
2	Spectrogram 1	1	2499.065487768	2499.655542839	87.658	438.289	281.250	0.5901	0.3467	375.000	0.7818	281.250	bm
3	Spectrogram 1	1	2502.306836011	2503.047539908	140.253	473.352	281.250	0.7407	0.4747	375.000	0.8551	93.750	bm
4	Spectrogram 1	1	2505.021187634	2505.283715598	175.316	508.416	375.000	0.2625	0.1440	375.000	0.7500	93.750	bm
5	Spectrogram 1	1	2505.260275601	2506.043171492	561.010	1086.958	843.750	0.7829	0.6027	937.500	0.9178	187.500	us
6	Spectrogram 1	1	2506.047859491	2506.174435474	525.947	999.300	750.000	0.1266	0.0907	843.750	1.0000	187.500	bk
7	Spectrogram 1	1	2506.202563470	2506.319763454	455.821	981.768	750.000	0.1172	0.1013	843.750	1.0000	187.500	bk
8	Spectrogram 1	1	2506.357267448	2506.479155432	420.758	981.768	750.000	0.1219	0.0533	843.750	0.8182	187.500	bk
9	Spectrogram 1	1	2506.549475422	2506.657299407	420.758	964.237	750.000	0.1078	0.0747	843.750	0.9474	281.250	bk
10	Spectrogram 1	1	2506.713555399	2506.830755383	420.758	946.705	750.000	0.1172	0.0800	843.750	0.9524	281.250	bk
11	Spectrogram 1	1	2506.910451372	2507.027651355	438.289	981.768	750.000	0.1172	0.0747	843.750	0.9048	281.250	bk
12	Spectrogram 1	1	2507.112035344	2507.219859329	385.695	946.705	750.000	0.1078	0.0693	843.750	0.9474	281.250	bk
13	Spectrogram 1	1	2507.233923327	2507.548019283	140.253	473.352	281.250	0.3141	0.2080	375.000	0.7759	187.500	bm
14	Spectrogram 1	1	2510.735858840	2511.167154781	87.658	438.289	281.250	0.4313	0.2613	375.000	0.7875	281.250	bm
15	Spectrogram 1	1	2512.807954553	2513.328322480	122.721	455.821	281.250	0.5204	0.3573	375.000	0.8763	187.500	bm
16	Spectrogram 1	1	2515.161330226	2515.780146140	87.658	473.352	281.250	0.6188	0.4373	375.000	0.8174	281.250	bm
