Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Delta Time (s)	Dur 90% (s)	Freq 95% (Hz)	Time 95% Rel.	BW 90% (Hz)	Sequence
1	Spectrogram 1	1	809.900902943	810.351845444	135.553	451.844	258.398	0.4509	0.3425	430.664	0.9079	258.398	bm
2	Spectrogram 1	1	810.506115247	810.710819409	112.961	451.844	258.398	0.2047	0.1567	344.531	0.8824	86.133	bm
3	Spectrogram 1	1	810.746420133	811.066826647	112.961	564.805	344.531	0.3204	0.2206	430.664	0.7778	172.266	bm
4	Spectrogram 1	1	812.894330469	813.223637164	135.553	519.621	344.531	0.3293	0.1916	430.664	0.8750	172.266	bm
6	Spectrogram 1	1	813.152435717	813.980152545	451.844	994.057	775.195	0.8277	0.7140	861.328	0.9291	172.266	us
5	Spectrogram 1	1	813.342306244	813.766548202	135.553	497.029	344.531	0.4242	0.3483	344.531	0.9178	86.133	bm
7	Spectrogram 1	1	813.971252364	814.072121082	429.252	948.873	689.062	0.1009	0.0580	775.195	0.8125	172.266	bk
8	Spectrogram 1	1	814.137389075	814.229357612	338.883	926.281	689.062	0.0920	0.0639	775.195	0.9333	258.398	bk
9	Spectrogram 1	1	814.312425967	814.431095047	293.699	1039.242	689.062	0.1187	0.0697	775.195	0.8947	258.398	bk
10	Spectrogram 1	1	814.520096856	814.620965574	293.699	926.281	689.062	0.1009	0.0697	775.195	0.8824	258.398	bk
11	Spectrogram 1	1	814.712934110	814.819736282	293.699	971.465	689.062	0.1068	0.0697	775.195	0.8824	258.398	bk
12	Spectrogram 1	1	814.938405361	815.045207532	338.883	971.465	689.062	0.1068	0.0639	775.195	0.8333	258.398	bk
13	Spectrogram 1	1	815.160909885	815.279578964	338.883	926.281	602.930	0.1187	0.0697	775.195	0.8421	258.398	bk
