Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Delta Time (s)	Dur 90% (s)	Freq 95% (Hz)	Time 95% Rel.	BW 90% (Hz)	Sequence
2	Spectrogram 1	1	2080.218990092	2080.342317673	70.312	351.562	93.750	0.1233	0.1067	281.250	0.9545	187.500	bm
1	Spectrogram 1	1	2080.447029769	2080.882166704	140.625	468.750	281.250	0.4351	0.3253	375.000	0.8765	187.500	bm
3	Spectrogram 1	1	2080.944993962	2081.096244769	187.500	421.875	281.250	0.1513	0.1067	375.000	0.8889	187.500	bm
4	Spectrogram 1	1	2083.320795088	2083.530219282	140.625	468.750	375.000	0.2094	0.1493	375.000	0.8421	93.750	bm
5	Spectrogram 1	1	2083.565123314	2083.739643475	164.062	515.625	281.250	0.1745	0.1387	375.000	0.9062	93.750	bm
6	Spectrogram 1	1	2083.567450249	2084.272511700	539.062	1101.562	843.750	0.7051	0.5653	937.500	0.9015	281.250	us
7	Spectrogram 1	1	2083.979317830	2084.060760571	398.437	890.625	750.000	0.0814	0.0747	843.750	1.0000	281.250	bk
8	Spectrogram 1	1	2084.288800248	2084.379550732	515.625	1101.562	750.000	0.0908	0.0640	937.500	1.0000	281.250	bk
9	Spectrogram 1	1	2084.442377990	2084.542436216	468.750	1054.687	750.000	0.1001	0.0747	843.750	1.0000	281.250	bk
10	Spectrogram 1	1	2084.628532829	2084.719283312	468.750	1031.250	750.000	0.0908	0.0747	843.750	0.9375	281.250	bk
12	Spectrogram 1	1	2084.826322345	2084.924053635	445.312	1054.687	750.000	0.0977	0.0747	843.750	0.8889	281.250	bk
11	Spectrogram 1	1	2084.830976216	2084.917072828	93.750	492.187	281.250	0.0861	0.0693	468.750	0.9333	375.000	bm
13	Spectrogram 1	1	2084.926380570	2085.019457989	445.312	937.500	750.000	0.0931	0.0693	843.750	0.8235	281.250	bk
14	Spectrogram 1	1	2085.049708151	2085.154420247	445.312	1101.562	750.000	0.1047	0.0747	843.750	0.9474	281.250	bk
15	Spectrogram 1	1	2085.439784626	2085.538508137	187.500	468.750	281.250	0.0987	0.0533	375.000	0.8333	187.500	bm
16	Spectrogram 1	1	2085.525345003	2085.630650081	539.062	890.625	750.000	0.1053	0.0640	843.750	0.8889	281.250	bk
17	Spectrogram 1	1	2085.548380489	2085.670139486	117.187	492.187	375.000	0.1218	0.0800	375.000	0.7727	93.750	bm
18	Spectrogram 1	1	2085.640522433	2085.742536728	468.750	937.500	656.250	0.1020	0.0693	750.000	0.9444	187.500	bk
19	Spectrogram 1	1	2085.755699863	2085.893912779	164.062	468.750	281.250	0.1382	0.0747	375.000	0.8400	187.500	bm
20	Spectrogram 1	1	2085.887331211	2085.972891588	492.187	890.625	656.250	0.0856	0.0533	750.000	0.9333	187.500	bk
21	Spectrogram 1	1	2086.015671776	2086.180210962	164.062	492.187	375.000	0.1645	0.0907	375.000	0.7000	93.750	bm
