Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Delta Time (s)	Dur 90% (s)	Freq 95% (Hz)	Time 95% Rel.	BW 90% (Hz)	Sequence
1	Spectrogram 1	1	1897.911708936	1898.512651650	128.205	435.897	281.250	0.6009	0.4587	375.000	0.8750	187.500	bm
2	Spectrogram 1	1	1899.404373098	1900.451176536	153.846	461.538	281.250	1.0468	0.8107	375.000	0.8564	187.500	bm
3	Spectrogram 1	1	1902.302467802	1903.388041738	102.564	435.897	281.250	1.0856	0.9227	375.000	0.9458	187.500	bm
4	Spectrogram 1	1	1903.144374677	1903.932552530	615.385	1076.923	843.750	0.7882	0.7093	937.500	0.9456	187.500	us
5	Spectrogram 1	1	1903.932552530	1904.025077756	538.462	1025.641	750.000	0.0925	0.0853	937.500	1.0000	281.250	bk
6	Spectrogram 1	1	1904.076480659	1904.172432746	384.615	1153.846	750.000	0.0960	0.0800	937.500	0.9412	375.000	bk
7	Spectrogram 1	1	1904.244396811	1904.354056338	410.256	1051.282	750.000	0.1097	0.1013	843.750	1.0000	281.250	bk
8	Spectrogram 1	1	1904.429447263	1904.528826210	410.256	1102.564	750.000	0.0994	0.0960	843.750	1.0000	281.250	bk
9	Spectrogram 1	1	1904.611070855	1904.713876662	333.333	1000.000	750.000	0.1028	0.0853	843.750	1.0000	281.250	bk
10	Spectrogram 1	1	1904.792694448	1904.922915136	333.333	1102.564	750.000	0.1302	0.1173	843.750	0.9583	281.250	bk
11	Spectrogram 1	1	1905.001732922	1905.125099890	307.692	974.359	750.000	0.1234	0.0907	843.750	0.9545	281.250	bk
12	Spectrogram 1	1	1905.203917675	1905.317004063	333.333	1076.923	750.000	0.1131	0.0907	843.750	0.9500	281.250	bk
13	Spectrogram 1	1	1905.412956149	1905.563738000	282.051	1000.000	750.000	0.1508	0.1173	843.750	0.8929	281.250	bk
14	Spectrogram 1	1	1905.645982645	1905.772776474	384.615	1051.282	750.000	0.1268	0.1013	843.750	0.9565	281.250	bk
15	Spectrogram 1	1	1905.861874840	1905.995522389	358.974	1025.641	656.250	0.1336	0.1067	843.750	0.9583	375.000	bk
16	Spectrogram 1	1	1907.599292977	1907.774062848	102.564	435.897	281.250	0.1748	0.1440	375.000	0.9062	187.500	bm
17	Spectrogram 1	1	1907.890576096	1908.168151775	102.564	538.462	281.250	0.2776	0.2187	375.000	0.9020	187.500	bm
18	Spectrogram 1	1	1908.462861755	1909.148233801	128.205	538.462	281.250	0.6854	0.5920	375.000	0.9297	187.500	bm
