Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Delta Time (s)	Dur 90% (s)	Freq 95% (Hz)	Time 95% Rel.	BW 90% (Hz)	Sequence
1	Spectrogram 1	1	539.159718158	539.567027490	50.6	531.0	258.398	0.4073	0.2612	344.531	0.7681	172.266	bm
2	Spectrogram 1	1	539.782209778	540.020447312	429.9	1036.8	775.195	0.2382	0.1045	861.328	0.7000	172.266	bk
3	Spectrogram 1	1	540.058872720	540.443126807	126.4	480.4	344.531	0.3843	0.1800	430.664	0.6615	172.266	bm
4	Spectrogram 1	1	540.350905826	541.042563182	834.5	1264.3	947.461	0.6917	0.4934	1119.727	0.8151	258.398	us
5	Spectrogram 1	1	540.619883687	540.819695812	429.9	885.0	775.195	0.1998	0.0929	861.328	0.7273	172.266	bk
6	Spectrogram 1	1	540.727474831	541.250060388	151.7	480.4	344.531	0.5226	0.2786	430.664	0.7865	172.266	bm
7	Spectrogram 1	1	541.004137773	541.142469244	606.9	1112.6	861.328	0.1383	0.0464	1033.594	0.7391	344.531	bk
8	Spectrogram 1	1	541.188579735	541.312053099	455.2	1137.9	775.195	0.1235	0.0580	861.328	0.8000	258.398	bk
9	Spectrogram 1	1	541.355526486	541.513117515	480.4	986.2	775.195	0.1576	0.1103	861.328	0.8519	172.266	bk
11	Spectrogram 1	1	541.562025075	542.013061468	101.1	455.2	258.398	0.4510	0.2322	344.531	0.7403	86.133	bm
10	Spectrogram 1	1	541.600064289	541.714181931	480.4	1036.8	775.195	0.1141	0.0639	861.328	0.8333	258.398	bk
12	Spectrogram 1	1	541.801128705	541.953285560	404.6	1036.8	689.062	0.1522	0.0580	861.328	0.7600	258.398	bk
13	Spectrogram 1	1	542.051100682	542.170652497	303.4	1062.0	689.062	0.1196	0.0639	861.328	0.8000	258.398	bk
14	Spectrogram 1	1	542.208691710	542.404321953	531.0	1036.8	775.195	0.1956	0.0987	861.328	0.7576	172.266	bk
15	Spectrogram 1	1	542.295638485	542.844489999	126.4	404.6	258.398	0.5489	0.3715	344.531	0.8191	86.133	bm
16	Spectrogram 1	1	542.545610462	542.676030623	404.6	1087.3	689.062	0.1304	0.0580	861.328	0.6364	258.398	bk
17	Spectrogram 1	1	542.795582438	542.947739294	354.0	1036.8	689.062	0.1522	0.0639	861.328	0.6800	258.398	bk
18	Spectrogram 1	1	543.034686068	543.235750484	480.4	1011.5	775.195	0.2011	0.0813	861.328	0.6364	172.266	bk
19	Spectrogram 1	1	543.333565605	544.154125790	50.6	632.2	344.531	0.8206	0.5283	430.664	0.7660	172.266	bm
20	Spectrogram 1	1	543.871548772	544.110652402	480.4	1087.3	775.195	0.2391	0.1045	861.328	0.7250	172.266	bk
21	Spectrogram 1	1	544.203033350	544.931212586	50.6	632.2	344.531	0.7282	0.4470	430.664	0.8226	172.266	bm
