Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Delta Time (s)	Dur 90% (s)	Freq 95% (Hz)	Time 95% Rel.	BW 90% (Hz)	Sequence
1	Spectrogram 1	1	949.480510219	949.934574445	87.500	415.625	258.398	0.4541	0.3193	344.531	0.8205	172.266	bm
2	Spectrogram 1	1	951.091357115	951.534610287	87.500	437.500	258.398	0.4433	0.3135	344.531	0.8400	172.266	bm
3	Spectrogram 1	1	952.729011670	953.248842354	153.125	415.625	258.398	0.5198	0.3657	344.531	0.8876	172.266	bm
4	Spectrogram 1	1	955.516681472	955.743713584	131.250	459.375	344.531	0.2270	0.1277	344.531	0.8421	86.133	bm
5	Spectrogram 1	1	955.830202008	956.918514676	459.375	962.500	861.328	1.0883	0.9462	947.461	0.9198	258.398	us
6	Spectrogram 1	1	956.908042658	956.981940158	437.500	918.750	775.195	0.0739	0.0580	861.328	0.9167	344.531	bk
7	Spectrogram 1	1	957.076223174	957.167958000	371.875	962.500	775.195	0.0917	0.0639	861.328	0.8667	258.398	bk
8	Spectrogram 1	1	957.249500068	957.346331274	415.625	940.625	775.195	0.0968	0.0697	861.328	0.9333	344.531	bk
9	Spectrogram 1	1	957.448258859	957.547638255	415.625	984.375	775.195	0.0994	0.0697	861.328	1.0000	344.531	bk
10	Spectrogram 1	1	957.664854978	957.764234373	371.875	1006.250	689.062	0.0994	0.0639	775.195	0.9375	258.398	bk
11	Spectrogram 1	1	957.881451096	957.973185922	393.750	1028.125	689.062	0.0917	0.0639	775.195	0.9286	258.398	bk
12	Spectrogram 1	1	958.085306266	958.199974799	393.750	940.625	775.195	0.1147	0.0697	861.328	0.8889	344.531	bk
13	Spectrogram 1	1	958.340125229	958.439504624	350.000	962.500	689.062	0.0994	0.0580	775.195	0.8125	258.398	bk
14	Spectrogram 1	1	958.574558674	958.701968156	350.000	962.500	689.062	0.1274	0.0755	861.328	0.8571	344.531	bk
15	Spectrogram 1	1	959.588738146	959.726340386	109.375	393.750	258.398	0.1376	0.0987	344.531	0.9091	172.266	bm
16	Spectrogram 1	1	961.010627958	961.530458642	87.500	415.625	258.398	0.5198	0.3309	344.531	0.8068	172.266	bm
17	Spectrogram 1	1	962.277193274	962.997930140	153.125	393.750	258.398	0.7207	0.5050	344.531	0.8537	172.266	bm
18	Spectrogram 1	1	964.792564937	965.246629162	131.250	415.625	258.398	0.4541	0.3019	344.531	0.8182	86.133	bm
19	Spectrogram 1	1	967.005227115	967.488120815	131.250	393.750	258.398	0.4829	0.2961	344.531	0.7927	172.266	bm
20	Spectrogram 1	1	969.715197731	970.212506169	109.375	393.750	258.398	0.4973	0.2961	344.531	0.7765	172.266	bm
