Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Delta Time (s)	Dur 90% (s)	Freq 95% (Hz)	Time 95% Rel.	BW 90% (Hz)	Sequence
1	Spectrogram 1	1	174.499893965	174.920093730	154.350	463.050	258.398	0.4202	0.2728	344.531	0.8028	86.133	bm
2	Spectrogram 1	1	175.094696052	175.651807496	110.250	463.050	344.531	0.5571	0.2786	344.531	0.6947	86.133	bm
3	Spectrogram 1	1	177.115153555	177.508845642	110.250	529.200	258.398	0.3937	0.2380	344.531	0.7313	86.133	bm
4	Spectrogram 1	1	178.192235680	178.463363250	154.350	529.200	344.531	0.2711	0.1567	430.664	0.7391	172.266	bm
5	Spectrogram 1	1	178.441078792	179.135611059	507.150	1102.500	861.328	0.6945	0.6037	947.461	0.9746	172.266	us
6	Spectrogram 1	1	179.117040678	179.195036280	507.150	1014.300	775.195	0.0780	0.0580	861.328	0.9231	258.398	bk
7	Spectrogram 1	1	179.261889653	179.362169713	396.900	1036.350	689.062	0.1003	0.0580	861.328	0.8750	344.531	bk
8	Spectrogram 1	1	179.425309010	179.518160917	330.750	970.200	689.062	0.0929	0.0639	861.328	0.8667	344.531	bk
10	Spectrogram 1	1	179.562729833	179.692722503	154.350	441.000	258.398	0.1300	0.0987	430.664	0.9048	172.266	bm
9	Spectrogram 1	1	179.596156519	179.700150656	396.900	1014.300	689.062	0.1040	0.0871	861.328	0.9412	344.531	bk
11	Spectrogram 1	1	179.767004029	179.885854470	396.900	992.250	689.062	0.1189	0.0871	861.328	0.9000	344.531	bk
12	Spectrogram 1	1	179.960135996	180.090128667	330.750	926.100	689.062	0.1300	0.0987	775.195	0.9545	258.398	bk
13	Spectrogram 1	1	180.171838345	180.290688786	330.750	1014.300	689.062	0.1189	0.0871	861.328	1.0000	344.531	bk
14	Spectrogram 1	1	180.379826617	180.509819288	374.850	970.200	689.062	0.1300	0.0813	775.195	1.0000	258.398	bk
15	Spectrogram 1	1	180.628669729	180.736377942	242.550	948.150	689.062	0.1077	0.0580	775.195	0.8235	258.398	bk
16	Spectrogram 1	1	182.203438078	182.363143358	110.250	418.950	258.398	0.1597	0.0987	344.531	0.8077	172.266	bm
17	Spectrogram 1	1	182.403998197	182.678839843	110.250	463.050	258.398	0.2748	0.1916	344.531	0.8298	172.266	bm
18	Spectrogram 1	1	182.919646762	183.618228872	88.200	485.100	258.398	0.6986	0.4528	344.531	0.8333	86.133	bm
19	Spectrogram 1	1	185.535390301	186.023872528	110.250	529.200	344.531	0.4885	0.3251	430.664	0.8675	172.266	bm
