Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Delta Time (s)	Dur 90% (s)	Freq 95% (Hz)	Time 95% Rel.	BW 90% (Hz)	Sequence
1	Spectrogram 1	1	2106.887961921	2107.371926065	168.359	454.569	281.250	0.4840	0.3360	375.000	0.8222	187.500	bm
2	Spectrogram 1	1	2108.451166108	2108.814139217	151.523	454.569	281.250	0.3630	0.2827	375.000	0.9104	187.500	bm
3	Spectrogram 1	1	2111.146846395	2111.616291615	151.523	471.405	281.250	0.4694	0.3200	375.000	0.8391	187.500	bm
4	Spectrogram 1	1	2112.985910145	2113.677978872	134.687	471.405	281.250	0.6921	0.5227	375.000	0.8682	187.500	bm
5	Spectrogram 1	1	2116.078441030	2116.596282665	151.523	454.569	281.250	0.5178	0.3253	375.000	0.7604	93.750	bm
6	Spectrogram 1	1	2116.446436169	2117.336930195	589.256	1077.496	843.750	0.8905	0.7307	937.500	0.9157	187.500	us
19	Spectrogram 1	1	2116.625502902	2116.978796728	151.523	454.569	281.250	0.3533	0.2933	375.000	0.9077	187.500	bm
7	Spectrogram 1	1	2117.317571629	2117.453081590	572.420	1060.660	750.000	0.1355	0.0907	937.500	0.8750	281.250	bk
18	Spectrogram 1	1	2117.496638363	2117.612789757	117.851	471.405	281.250	0.1162	0.0907	468.750	0.9524	281.250	bm
8	Spectrogram 1	1	2117.511157287	2117.641827606	521.912	993.317	750.000	0.1307	0.0907	937.500	0.8696	281.250	bk
9	Spectrogram 1	1	2117.690224021	2117.811215057	488.240	976.481	750.000	0.1210	0.0960	843.750	0.9091	281.250	bk
10	Spectrogram 1	1	2117.849932188	2118.009640356	471.405	959.645	750.000	0.1597	0.1120	843.750	0.8966	281.250	bk
11	Spectrogram 1	1	2118.043517846	2118.188707090	454.569	942.809	750.000	0.1452	0.1280	843.750	0.9615	281.250	bk
12	Spectrogram 1	1	2118.241943146	2118.391972031	471.405	909.137	750.000	0.1500	0.1280	843.750	0.9630	281.250	bk
13	Spectrogram 1	1	2118.445208086	2118.595236971	437.733	959.645	750.000	0.1500	0.1120	843.750	0.8889	281.250	bk
14	Spectrogram 1	1	2118.682350517	2118.822700119	420.897	959.645	750.000	0.1403	0.1067	843.750	0.9231	281.250	bk
15	Spectrogram 1	1	2118.904974024	2119.040483985	505.076	942.809	750.000	0.1355	0.0960	843.750	0.9200	281.250	bk
16	Spectrogram 1	1	2119.132437172	2119.258267850	471.405	993.317	750.000	0.1258	0.0907	843.750	0.9545	281.250	bk
17	Spectrogram 1	1	2119.384098527	2119.500249922	454.569	925.973	750.000	0.1162	0.0907	843.750	0.8571	281.250	bk
20	Spectrogram 1	1	2121.121529807	2121.828117458	134.687	488.240	281.250	0.7066	0.5067	375.000	0.8779	187.500	bm
21	Spectrogram 1	1	2123.952720054	2124.654468064	134.687	488.240	281.250	0.7017	0.5493	375.000	0.9000	187.500	bm
