Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Delta Time (s)	Dur 90% (s)	Freq 95% (Hz)	Time 95% Rel.	BW 90% (Hz)	Sequence
1	Spectrogram 1	1	2458.506963173	2459.375155492	142.610	445.656	281.250	0.8682	0.7253	375.000	0.9379	187.500	bm
2	Spectrogram 1	1	2460.567569837	2460.707093627	178.262	463.482	281.250	0.1395	0.0960	375.000	0.8400	187.500	bm
3	Spectrogram 1	1	2460.986141207	2461.725617295	160.436	445.656	281.250	0.7395	0.6347	375.000	0.9493	187.500	bm
4	Spectrogram 1	1	2461.116363411	2462.009315668	659.570	926.964	843.750	0.8930	0.8000	843.750	0.9759	93.750	us
5	Spectrogram 1	1	2462.074426770	2462.158141044	427.829	891.311	656.250	0.0837	0.0693	843.750	1.0000	375.000	bk
6	Spectrogram 1	1	2462.209299767	2462.293014042	356.524	873.485	656.250	0.0837	0.0640	843.750	0.9286	468.750	bk
7	Spectrogram 1	1	2462.344172765	2462.432537832	410.003	837.832	656.250	0.0884	0.0640	750.000	0.9375	281.250	bk
8	Spectrogram 1	1	2462.497648934	2462.586014001	392.177	837.832	656.250	0.0884	0.0747	750.000	1.0000	281.250	bk
9	Spectrogram 1	1	2462.655775896	2462.758093342	356.524	873.485	656.250	0.1023	0.0853	750.000	0.9474	375.000	bk
10	Spectrogram 1	1	2462.855759995	2462.953426648	356.524	891.311	656.250	0.0977	0.0587	750.000	0.8824	375.000	bk
11	Spectrogram 1	1	2463.065045680	2463.167363126	392.177	909.137	656.250	0.1023	0.0800	843.750	0.9444	375.000	bk
12	Spectrogram 1	1	2463.595236083	2463.776617010	142.610	516.960	281.250	0.1814	0.1387	375.000	0.9091	187.500	bm
