Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Delta Time (s)	Dur 90% (s)	Freq 95% (Hz)	Time 95% Rel.	BW 90% (Hz)	Sequence
1	Spectrogram 1	1	665.421694637	665.958729586	135.553	451.844	258.398	0.5370	0.3367	344.531	0.7582	172.266	bm
2	Spectrogram 1	1	667.126706884	667.654784288	135.553	474.436	344.531	0.5281	0.3889	344.531	0.8989	86.133	bm
3	Spectrogram 1	1	669.372519211	669.850162255	112.961	519.621	344.531	0.4776	0.3657	430.664	0.8902	172.266	bm
4	Spectrogram 1	1	669.648424821	670.642278360	429.252	1016.650	689.062	0.9939	0.8591	861.328	0.9647	430.664	us
5	Spectrogram 1	1	670.645245087	670.752047258	384.068	881.096	689.062	0.1068	0.0755	775.195	0.9412	258.398	bk
6	Spectrogram 1	1	670.820281979	670.938951058	406.660	903.689	689.062	0.1187	0.0755	775.195	0.8947	258.398	bk
7	Spectrogram 1	1	671.042786503	671.155522128	316.291	926.281	602.930	0.1127	0.0697	775.195	0.8421	258.398	bk
8	Spectrogram 1	1	671.253424119	671.360226290	361.475	903.689	602.930	0.1068	0.0755	775.195	0.8889	258.398	bk
9	Spectrogram 1	1	671.478895369	671.588664268	316.291	903.689	602.930	0.1098	0.0639	775.195	0.8333	344.531	bk
10	Spectrogram 1	1	671.725133709	671.823035700	384.068	903.689	602.930	0.0979	0.0639	775.195	0.8125	344.531	bk
11	Spectrogram 1	1	673.294532283	673.700973880	135.553	474.436	258.398	0.4064	0.2902	344.531	0.8986	86.133	bm
12	Spectrogram 1	1	674.596925429	674.822396680	135.553	474.436	258.398	0.2255	0.1335	344.531	0.7368	86.133	bm
